1NO0000001	-----사건 번호 45602-----[CRLF]
1NO0000282	오버시어나 온건한 경비원들에게 알려서는 안된다. 그들은 이유도 없이 반대하여 우리에게 패배를 안겨 줄 뿐이다. 일단 일이 끝나고 나면, 그들도 그럴 가치가 있었다고 생각하게 될 것이다.[CRLF]
1NO0000283	이것으로 그 쓰레기들에게 우리 볼트에 거스르면 무슨 일이 일어나는지를 똑똑히 보여줄 수 있을 것이다.[CRLF]
1NO0000284	감옥 비밀번호 - 스톡홀름[CRLF]
1NO0000285	나는 마침내 우리 식구들을 위한 조용한 장소를 찾았다. 우리는 오직 들키지 않는 것을 목표로, 이 마을 저 마을로 도망쳐다니고 있었다. 반대쪽 해변에 도착한 지금은 훨씬 안전하다는 생각이 든다.[CRLF]
1NO0000286	우리 맞은편의 가족은 제법 점잖은 듯하다. 그들의 아이 브라이언은 우리 아들과 놀기를 좋아하는데, 참 잘된 일이다. 우리가 한 장소에 그리 오래 머무른 적이 없기 때문에 윌은 친구를 사귀기가 힘들었다. 우리는 마침내 이곳 그레이디치에서 뿌리를 내릴 수도 있을 것 같다.[CRLF]
1NO0000287	팔아넘길 고물을 찾으려고 근처의 건물을 뒤지다가, 작동이 되는 라디오를 발견했다. 그걸 켜자마자 리차드슨이 연설을 할 때 마다 틀어 주던 귀에 익은 애국가가 들려왔다. 하지만 이건 달랐다. 이든 대통령이 대체 누구지? 언제 이런 일이 있었지? 그자들이 이쪽 해변에도 있단 말인가? 무엇보다도, 그자들이 날 찾아올 것인가?[CRLF]
1NO0000288	이 여행이 하나의 큰 실수가 아니었기를 바란다.[CRLF]
1NO0000289	브라운 박사님께.[CRLF]
1NO0000290	여기 박사께서 관심을 보였던 군사 훈련 프로그램에 대한 수정된 코드가 있습니다. 이것으로 정확히 무엇을 하시려는 것인지 모르겠지만, 이 프로그램은 민간 장비로 실행 되도록 만들어진 것이 아니라는 점을 다시 한 번 강조합니다[CRLF]
1NO0000291	솔직히 말씀드리면, 선생님께서 이용하실 수 있는 시스템 중에 이것을 실행할 수 있는 것이 있으리라곤 기대하지 않습니다. [CRLF]
1NO0000292	그러나 요청하신 바와 같이 이 프로그램을 비상 안전 장치가 꺼진 상태로 실행하게 되면, 실험 대상들이 시뮬레이션 안에서 죽임을 당할 경우 실제로도 죽게 될 것입니다.[CRLF]
1NO0000293	따라서, 제가 "공식적으로는" 선생님의 요청을 거절한 것도 당연한 일이겠지요.[CRLF]
1NO0000294	콘스탄틴 체이스 장군 [CRLF]
1NO0000295	-----[CRLF]
1NO0000296	목적: 공산당의 미합중국 영토 침략 시뮬레이션[CRLF]
1NO0000297	정보 수집 완료: 신규 프로토콜 실행[CRLF]
1NO0000298	- 세이프티 프로토콜 1-6 해지[CRLF]
1NO0000299	- 목표 설정 무효화
1NO0000300	경고: 실험 대상의 삭제는 현실에서 사망으로 이어짐. 진행 시 최대한의 주의 필요![CRLF]
1NO0000301	6.11.12: 신규 프로그램 "트랭퀼리티레인" 불러오기 완료. 승인: S. 브라운[CRLF]
1NO0000302	6.10.12: 이전 버전 모두 삭제. 승인: S.브라운[CRLF]
1NO0000303	MQ04VersionControlPrevious[CRLF]
1NO0000304	3.2.0005 버전[CRLF]
1NO0000305	*0001 포드 예외 인정
1NO0000306	*포드 수동 해지 불가. 원격 제어 우선 순위: S. 브라운
1NO0000307	*신경계 입력 업데이트. 각각의 사용자 메모리 접근 가능
1NO0000308	*볼트 관리 로봇 코드 수정: 차후 업데이트는 S. 브라운 승인 후 가능
1NO0000309	*사용자 미상 접근 허가
1NO0000310	*S. 브라운에 의해 사용자 미상 변경[CRLF]
1NO0000311	작업대에서 다음을 조합하세요:
1NO0000315	병뚜껑 10개[CRLF]
1NO0000316	이 설계도로 이제 지뢰 2개를 만들 수 있습니다![CRLF]
1NO0000317	병뚜껑 지뢰는 값도 싸고 직접 만들기도 쉬운 폭약입니다. 폭발력이 강하므로 항상 거리를 두고 사용하세요![CRLF]
1NO0000323	이 설계도로 이제 지뢰 3개를 만들 수 있습니다![CRLF]
1NO0000330	효과가 10% 증가 함![CRLF]
1NO0000331	방사능 돌연변이 전갈의 독을 묻힐 다트는 폐허가 된 집이나 가게등에서 많이 찾을 수 있다. 다트 총은 조용하고 놀랄만큼 치명적인 작은 장난감이다. [CRLF]
1NO0000337	효과가 20% 증가 함![CRLF]
1NO0000345	이 무기를 착용하면, 당신의 "비무장" 공격은 광포하게 갑옷을 조각내는 데스클로의 힘을 얻게 됩니다. 데스클로에게서 손을 하나 얻을 정도로 오래 살아남을 수 있기만 한다면요.[CRLF]
1NO0000354	누카-콜라 퀀텀 1 병
1NO0000358	이 설계도로 수류탄 2개를 만듭니다![CRLF]
1NO0000359	탄산화와 폭발을 일으키는 강력한 혼합물인 누카 수류탄은, 목욕 거품과 비슷한 플라즈마를 일으킵니다.[CRLF]
1NO0000365	이 설계도로 수류탄 3개를 만듭니다![CRLF]
1NO0000373	공업 현장이나 기차 역에서 찾을 수 있는 개못을 발사하는 개못 소총을 사용하면, 목표물이 움직이는 것을 멈출 수 있고, 그들의 사지를 벽에 고정할 수 있습니다.[CRLF]
1NO0000387	락-잇 런처는 가장 정밀한 대형화기는 아니지만, 주변에 쓰레기가 널려 있는 이상, 탄환이 바닥나지 않습니다. 그저 깔대기에 쓰레기를 채우면, 쓰레기는 무시무시한 무기가 될 것입니다.[CRLF]
1NO0000398	잔디 깎기 날
1NO0000401	점화하고 잘 쓰면, 시쉬케밥은 베기와 태우기라는, 근접 공격에서 중요한 두가지 기능을 제공합니다.[CRLF]
1NO0000414	이제 30% 향상됐습니다![CRLF]
1NO0000416	관리실 터널에서 메인 플랫폼으로 가는 외부 비상구의 비밀번호는 "니치테리스" 이다.[CRLF]
1NO0000417	저는 올드 올니 동쪽의 고속도로에서 주유소 근처를 달리고 있었는데, 갑자기 사슴 한 마리가 트럭 앞으로 뛰어 들었습니다. 저는 그 사슴과 부딪히지 않으려고 급히 핸들을 꺾었는데, 브레이크가 먹통이 되어 철책에 쳐박히게 되었습니다. 저는 올드 올니 잡화점에 매우 중요한 화물을 배달하던 중이었기에, 올드 올니 소방서에 전화를 걸어 즉시 견인 해 줄 것을 요청 했습니다. 견인 트럭이 도착할 때까지 그곳에서 기다리겠습니다.[CRLF]
1NO0000418	일부 파손이 있었으나, 특수 화물은 무사합니다. 저는 다치지 않았지만, 트럭은 거의 대부분 파손 상태 입니다. 제가 회사에서 이런 사고를 일으킨 것은 이번이 처음이므로, 후의 제 평가에 나쁜 영향을 미치지 않았으면 합니다.[CRLF]
1NO0000419	부서 SH-03
1NO0000420	누카-콜라 회사 운전사 09899
1NO0000421	칼 월리스[CRLF]
1NO0000422	나쁜 소식이다. 레인저들은 셰릴을 본 적이 없다고 하며, 그들 나름의 문제를 안고 있다. 라일리의 부하들은 이 근처를 감시할 거라고 한다. 그들은 우리에게 강 건너 서쪽 폐허로 향해 그곳을 찾아보라고 했다. 그래서 그렇게 할까 한다. 젠장, 셰릴, 왜 그냥 우릴 기다리지 않은 거야?[CRLF]
1NO0000423	우리가 시타델을 떠난 후로 한 달이 지난 것 같다. 시내에서 뮤턴트들을 추적하기란 쉬운 일이 아니다. 멘토스가 모두의 집중력을 유지하는 데 도움이 되긴 하지만, 그래도 조심해야 한다. 이 녹색 괴물들은 계속 이동하고 있는 모양이다. 그것에 대해 이야기 하는 걸 들은 적은 없지만, 뭔가를 찾고 있는 듯하다. 그리고 사람들도. 손에 잡히는 사람이라면 누구나 말이다.[CRLF]
1NO0000424	시내에서 뮤턴트들을 추적하는것이 그렇게 어려운 건 아니다. 그놈들은 금속을 잘 다뤄서, 항상 고물차를 뜯어서 그 조각으로 이상한 걸 만들어 놓는다. 그 괴상한 조각물들을 따라가기만 하면 된다. 어려운 건 오히려 잘 숨어지내야 한다는것이다. 에멧은 가시 때문에 다리에 심한 상처를 입어서, 지혈하는 데 티셔츠가 두 장이나 들었다. 그놈들이 피 냄새를 맡지 못하길 바란다. 우린 지금 시타델로 향하고 있다. 그곳 사람들이 그를 치료하는 데 도움을 줄 수 있을지도 모른다.[CRLF]
1NO0000425	그곳을 하루 동안 나와 있으니 한결 마음이 편하다. 우리는 그 다리를 건너 서쪽의 폐허 너머를 확인 해 보려고 한다. 여기서는 이제 오래 버틸 수가 없다. 셰릴을 그냥 포기할 수는 없지만, 선택의 여지가 없게 될지도 모르겠다. 에멧은 상태가 좋지 않다. 내일까지 기다렸다가 다리를 건너려고 한다. [CRLF]
1NO0000426	편히 쉬길, 에멧. 캔터베리를 갓 나온 녀석이라 데리고 오고 싶지 않았지만, 지난 몇주 간은 정말 제 몫을 해냈다. 그 녀석은 지난 밤에 죽었다. 이제 굳이 시타델의 비열한 놈들을 상대할 필요는 없어졌다. 내일 다시 시내로 향한다.[CRLF]
1NO0000427	뭔가 찾았다. 뮤턴트들이 사람 여럿을 근처 공원에 묶어 놨다. 잠복해서 좀 더 상황을 지켜봐야겠다. 뭔가 알아내기 전에 무턱대고 쉐릴을 찾는 것은 너무 위험하다..[CRLF]
1NO0000428	카야가 밤에 낮은 포복으로 접근해 확인 해 봤다. 쉐릴은 없었고 대부분의 사람들이 죽었거나 간신히 살아 있는 정도다. 여기서 조금만 더 머물며 상황을 지켜보기로 했다.[CRLF]
1NO0000429	이 망할 자식들이 보기보다 더 똑똑하다. 사람들을 꼬챙이에 매달아 이목을 끈다. 뭔지 확인하러 온 용병 한쌍이 붙잡히는걸 목격했다. 한명은 제대로 싸워보지도 못하고 산채로 잡혀 갔다. 언젠가는 쉐릴을 찾길 바랄 뿐이다.[CRLF]
1NO0000430	사람들을 매달아 놓은건 이목을 끌기 위한 것만이 아니었다. 오늘 엄청나게 큰 놈이 오더니 꼬챙이에 달린 사람을 뽑아내 뼈에 묻은 살점까지 모두 뜯어 먹었다. 이제보니 놈들은 여태까지 저 괴물을 기다리고 있던것 같다. 놈들이 움직이기 시작했다. 느낌에 저 사람들을 끌고 가는 곳에 쉐릴이 있을 것 같다.[CRLF]
1NO0000431	오늘은 정말 위험했다. 빌어먹을 브라더후드 정찰병 놈 때문에 우리까지 들킬 뻔했다. 뮤턴트들이 그 놈을 잡아갔다. 불쌍한 녀석. 드디어 도시에서 벗어났다. 카야는 더 이상 가길 거부하더니 캔터베리로 떠나버렸다. 뮤턴트들은 서쪽을 향했다. 나는 저놈들이 사람들을 어디로 데려가는지 알아낼 것이다. 개활지에서 몸을 숨기는건 쉽지 않을테지만, 적어도 밤새 구울들이 내 뒤꽁무니를 쫓아올 걱정은 하지 않아도 될테지.[CRLF]
1NO0000432	JP는 거짓말쟁이에다 똥물이나 처먹는 놈이고, 아무짝에도 쓸모 없는데다가 개념을 방사능에 말아먹은 개자식이다.[CRLF]
1NO0000433	비밀 금고 같은건 없다. 이곳을 이 잡듯 뒤졌지만 망가진 총 한자루도 나오지 않았다. 탄약을 조금 찾은게 전부다. 이제 여기 갇혀서 저 망할 뮤턴트들이 터널을 계속 들락날락 하는걸 봐야 한다. 도대체 저 자식들은 뭐 때문에 저러는거지? 우리 물품 일부를 남동쪽 터널 끝 무슨 잔해 같은 곳 밑에 숨겨놨다. 그걸 몽땅 들고 저 자식들 몰래 빠져 나가는건 불가능한 일이다. 망할.. 다음번엔 JP더러 그걸 찾아오라고 해야겠다. 얼마나 좋아 할지 두고 봐라.[CRLF]
1NO0000434	이 양도 증서는 메가톤내의 집에 대한 완전한 소유권과 재산권을 인정함.[CRLF]
1NO0000435	양식: 메가톤 일반 거주지 양식[CRLF]
1NO0000436	위치: 메가톤 상부층. 브래스 랜턴 음식점 바로 뒤쪽 위.[CRLF]
1NO0000437	기본 제공 시설: 관리자 로봇 "미스터 핸디", 볼트 5000 단말기.[CRLF]
1NO0000438	기타 편의 시설: 추가 편의 시설은 분화구 잡화점의 모이라에게 구입 가능(모이라가 메가톤에 계속 거주할 경우)[CRLF]
1NO0000439	이 양도 증서는 텐페니타워에 있는 스위트 룸에 대한 완전한 소유권과 재산권을 인정함.[CRLF]
1NO0000440	양식: 표준 마스터 스위트 룸[CRLF]
1NO0000441	위치: 텐페니타워의 최상층[CRLF]
1NO0000443	기타 편의시설: 추가 편의시설은 르 쉬끄 부띠끄의 린다 몬테그로에게 구입가능(린다가 텐페니타워에서 계속 거주 할 경우)[CRLF]
1NO0000444	롤링스,[CRLF]
1NO0000445	그게 이 빌어먹을 굴속 거주민들중 마지막 녀석이야. 쥬얼리는 북쪽 근처에서 그녀석들을 사냥 한다고 하는군. 그 녀석들은 시력이 똥이라 좋은 사냥감이 될 수 있을지는 잘 모르겠지만, 그건 우리의 문제가 아니지.[CRLF]
1NO0000446	자 아이놈들을 싣고, 어서 출발 하자고.[CRLF]
1NO0000447	다음 갈곳은 핏이다![CRLF]
1NO0000448	주목: 창고/수리부문 고용인들[CRLF]
1NO0000449	격납용기에서 수리된 로봇들을 꺼낼 때 수리 구역의 주 승강기가 제대로 올라가도록 주의해 주십시오. 모든 로봇들은 펌웨어가 입력된 후, 중앙 출입구에 옮겨져 배달되기를 기다릴 것입니다. 지난 주에 프로텍트론을 아래층에 떨어뜨린 사고를 되풀이 하지 말도록 안전하게 다룹시다. 그 실수로 인해 우리는 시간과 돈을 소모했고, 회사와 단골고객인 DCTA를 당황스럽게 했습니다.[CRLF]
1NO0000450	-- 경영진으로부터[CRLF]
1NO0000451	이제 어떻게 해야할까요, 월링즈워스씨? 몰리가 물었다. 엄마가 곧 집에 올텐데 난 아직 내방을 청소하지 않았어![CRLF]
1NO0000452	이런 큰일났네, 이 일을 어쩌나. 안달하지 마세요 몰리-골리(*). 도움을 청할 거에요, 그러면 되지요. 이렇게 말하고 나서 작은 곰인형인 월링즈워스는 뒤뚱이며 방 가운데로 가서는, 조용하지만 강한 목소리로 선반위와 장난감 상자 안과 침대 밑에 잠들어 있는 녀석들을 불렀다. (역자주 : "몰리-골리" - 말장난인데, 골리가 "저런!" 이라는 뜻)[CRLF]
1NO0000453	어서 나와, 이 녀석들아! 몰리-골리에게 우리의 도움이 필요하다. 우리는 그녀의 수호자로써 급히 서둘러야해! 어서 나와, 먼지 쌓인 토끼는 빨리 털고 뛰어와![CRLF]
1NO0000454	그러자 집이 흔들리며 장난감 기차, 책받침대, 아기 인형, 장난감들이 생명을 꽃피우듯 바스락 거리며 우르르 뛰쳐나왔다.[CRLF]
1NO0000455	월링즈워스씨! 저는 정말 몰랐어요. 그건 당신이었군요! 이건 정말 멋져요! 몰리는 외쳤다.[CRLF]
1NO0000456	멋지다고? 참내! 난 기분좋게 낮잠 자면서 멋진 꿈을 꾸고 있었어. 그런데 넌 나를 깨워서 뭐? 막노동이라고! 그건 내가 해야할 일이 아니야 월링즈워스! 작고 찍찍거리는 불만의 목소리가 맥과이어에게서 나왔다. 맥과이어는 몰리가 가장 좋아하는, 안고 있으면 가장 잠이 잘 오는 생쥐 인형중 하나였다.[CRLF]
1NO0000457	오, 생쥐인형아! 너 살아있구나! 몰리는 침대로 뛰어가 플러시천(*)으로 만들어진 당황하고 있는 맥과이어의 연약한 몸을 힘껏 끌어안았다. (역자주 : "플러시천" - 벨벳과 비슷한 비단, 이것도 말장난)[CRLF]
1NO0000458	아악! 오우! 알았어, 됐어! 됐어! 이러다 부서지겠어! 몰리는 안았던 팔을 풀어 맥과이어를 침대에 다시 내려놓고, 생명은 갖게 되었지만 연약해 보이는 그녀의 장난감들에 대해 흥미와 함께 깊은 실망감을 느꼈다.[CRLF]
1NO0000459	잘 들어 맥과이어! 월링즈워스는 말했다. 몰리-골리 양의 수호자가 된다는 것은 우리가 어떻게든 그녀를 지켜야 한다는 걸 뜻해. 비록 그것이 변기청소를 하고 쓰레기를 버리고, 그래 그녀의 방을 청소하는 것이라도 말이야! 그리고 크롤리 크립스(*)를 할 시간이 되면, 오 조금 있으면 하겠네, 그럼 너희들은 원래대로 돌아가게 될거야. 내 말을 들어. (역자주 : "크롤리 크립스" - 어린이용 TV만화 크리피 크롤리스의 패러디)[CRLF]
1NO0000460	촌놈을 유혹하고, 배짱 좋은 놈도 꾀어,
1NO0000461	풋내기를 저주해, 너만 좋다면.
1NO0000462	그들의 젊음과 즐거움 권력을 위해,
1NO0000463	다섯이 하나를 만드는 낮사람들의 탑. 
1NO0000464	다섯번째 날에 그들이 올 때,
1NO0000465	낮사람들의 자손이 승리해.
1NO0000466	트럼펫의 소리, 맑게 울리는 함성!
1NO0000467	그리고 동쪽의 장막을 넘어 생각해.[CRLF]
1NO0000468	난 더 이상 견딜 수 없어 밥. 난 A 구역의 포탑들을 믿지 않아. 맹세하건데 난 내가 조금 늦은 그 날 철로에서 누군가의 흔적을 봤어. 내가 본게 들통 나면, 난 아작 날거야, 페즈 그 개자식이 키운 "전쟁 성과"의 한 부분인 노동자 조합의 손에, 제기랄.[CRLF]
1NO0000469	스네이크가 날 도와줘서 몇개의 펄스 수류탄을 밀수했어, 그걸 내 책상 밑 상자에 넣어 잠궈놨지. 난 핸디를 버리려고 시도해봤지만 마누라가 날 거의 죽이려고 했다고! 기절시켜서 쫓아내 버려야지. 만약 니가 언젠가 이게 필요할때 내 단말기 뒤에서 열쇠를 찾아서 상자를 열어. 넌 내가 널 위해 아무것도 한 것이 없다고는 못 할걸! -너의 친한 친구로부터[CRLF]
1NO0000470	아, 그리고 그 스테이플러 관리 좀 잘 해줘. 그게 바닥에 있으면.. 알잖아, 내가 신발 벗고 돌아다니는걸 얼마나 좋아하는지.[CRLF]
1NO0000471	캐러밴의 일지[CRLF]
1NO0000472	내일 난 녹색 산에 도착할 것이다. 그 곳 사람들은 좀 괴팍할지는 모르지만, 그들은 대단한 물건들을 무기와 총알을 위해 거래할거야. 그러니 내가 왜 불평하겠어? [CRLF]
1NO0000473	마지막으로 그곳에 있었을때, 그들이 "훌륭한 분"이라 부르는 누군가가 나와 이야기 하고 싶다고 했다. 그리고 난 그들의 몇몇 수제 밀주를 마시고 그들의 의식 같은 것에 동참했다. 이번에 난 그것들을 좀 가지고 와야 겠다 - 난 그토록 좋은 술을 마셔본 적이 없었거든.[CRLF]
1NO0000474	당신이 이걸 읽고 있을 때쯤이면, 난 죽어 있겠지.[CRLF]
1NO0000475	물이 점점 바닥 나고 있어, 운명이 물을 배달해 줄 때까지 기다리는 대신 나가서 좀 구해 봐야겠군. 젠장, 언제 비가 내렸는지도 기억하지 못하겠네.[CRLF]
1NO0000476	내 계획이 정 반대로 되어가는 것 같아. 난 어떤 미친새끼 때문에 팔을 깊이 베였고, 간신히 슈퍼 뮤턴트로부터 도망쳤지만 어떤 미친 할머니 때문에 엉덩이에 총까지 맞았어.[CRLF]
1NO0000477	하루종일 다리에 감각이 없군. 그래서 할 수 있는것이 별로 없지만, 이렇게 앉아서 글을 쓰는건 가능해.[CRLF]
1NO0000478	여기에서 이걸 읽는 당신에게 나보단 행운이 있기를.[CRLF]
1NO0000479	다른 놈들이 날 버려두고 갔어! 그들이 씨발 날 여기 버려두고 갔다고![CRLF]
1NO0000480	좋아. 내가 돌아 다니느라 그들이 화난건 이해 하지만 누군가 우리 뒤를 따라 다니는걸 봤다, 확인하러 나가 봐야겠다.[CRLF]
1NO0000481	내가 틀린것 같다. 하지만 난 밖에 십분 정도 나갔다 왔만 말이다! 그들이 날 버린건 아닐꺼야. 난 그놈들이 어디로 갔는지 알 수가 없지만, 여기서 일어나 그 놈들을 따라 잡는게 낫겠지.[CRLF]
1NO0000482	내가 해내다니 정말 기쁘다.[CRLF]
1NO0000483	정말로 사람답게 살길 원하면 그곳에서 빠져나와 제대로 된 삶을 살라고 죠슈아에게 몇 년 동안이나 얘기 했었다. 여기저기 돌아다니고 탐험하면서 정신나간 이 황무지를 느껴보라고 말야.[CRLF]
1NO0000484	그동안 정말 좋은 사람들도 많이 만났었고, 어마어마한 일들도 경험했었다. 어서 빨리 집에 가서 죠슈아에게 이야기 해 주고 싶다. 어쩌면 내 여행 일지들을 묶어서 책으로 낼 수도 있을 것이다![CRLF]
1NO0000485	먹거릴 찾아 영원히 헤멜 줄로만 알았는데, 이제 곧 집에 돌아갈 준비를 마칠 수 있을 것 같다. 드디어 나랑 폴리나, 크레스 셋이서 다음주까지 버틸만큼 충분히 모았으니.[CRLF]
1NO0000486	좋아. 세상이 날 지켜주지 않는다면 내가 세상을 지켜 줄테다.[CRLF]
1NO0000487	방금 싸이코를 23방이나 맞았더랬지. 젠장, 황무지가 날 먹어치우도록 냅둬버려.[CRLF]
1NO0000488	혹시 이걸 읽는 사람이 있다면, 내가 남겨둔 것들을 마음껏 가져가도록.[CRLF]
1NO0000489	안녕, 내 귀여운 동생아.[CRLF]
1NO0000490	편지 안한지 오래된거 나도 알아, 정말 미안해.[CRLF]
1NO0000491	이 세상에 나도 이름 좀 날려 보겠다고 집을 떠난지도 벌써 3년이나 되었구나. 오빠는 여기저기 많은곳을 돌아다녔어. 그레이스, 네가 상상도 못할 것들도 많이 보았고 말야.[CRLF]
1NO0000492	하지만 내 여행은 이제 끝났어. 집에 돌아갈 준비도 마쳤고, 며칠안으로 출발 할거야. [CRLF]
1NO0000493	집에 돌아가는 것만이 헤어져 있는 우리에게 유일한 희망이야. 그레이스, 네가 이 세상에 남겨진 내 유일한 가족이다. 사랑한다, 그리고 우리 다시 함께 살자.[CRLF]
1NO0000494	한주가 지났지만 아직도 난 마르코의 자취를 찾지 못했다.[CRLF]
1NO0000495	여기 이렇게 홀로 앉은채, 난 정말로 솔직해 질 수 있다. 내 자신과 이 글을 읽을 누구에게도. 난 정말 내 인생에 있어서 이렇게 절망적인 느낌을 느껴 본적이 없다.[CRLF]
1NO0000496	집으로 들인 어떤 사내가 가족 전부를 도륙하는 장면을 힘없이 바라보는 일은, 그 어떤 누구에게 있어서도 견딜 수 없는 일일 것이다.[CRLF]
1NO0000497	하지만 지금 난 이 개새끼를 찾을 수도, 그래서 복수할 수도 없다. 그자식은 내 두 눈앞에서 내 아이들을 죽이고 그냥 나가버렸다. 어떤 처벌도 어떤 정의도 없었다. 이게 말이 되는가?[CRLF]
1NO0000498	자살하고 싶지만 난 그것도 제대로 못 할 거라는걸 안다. 앞으로 어떻게 해야 할지 알고 싶을 뿐이다. 신이든 누구든간에 내게 어떻게 해야 할지를 알려주길 바랄 뿐이다.[CRLF]
1NO0000499	안녕 자기,[CRLF]
1NO0000500	있잖아, 나 더 이상은 못기다려. 택배 통해서 편지 보내는거야, 그리고 제발 부탁인데 가능한 빨리좀 답장해 줬으면 해.[CRLF]
1NO0000501	왜 계속 기다려야만 하는거야? 우리 부모님 일은 잊어! 매일을 여기 앉아서 동생 케빈의 방사능병이나 사라지길 지켜 봐야 한다구.[CRLF]
1NO0000502	난 더이상 내 인생을 낭비하고 싶진 않아. 당장 결혼하자 우리, 그리고 어서 우리만의 미래를 만들자. 메가톤이든 리벳시티든 아님 텐페니타워도 갈 수 있고. 어떻게 될 지 누가 알아?[CRLF]
1NO0000503	자기만 있으면, 난 뭐든지 할 수 있을것 같아![CRLF]
1NO0000504	그러니까 나랑 결혼하자구 바보야![CRLF]
1NO0000505	볼트 101 관리실 비밀번호는 "오래된 신뢰".[CRLF]
1NO0000506	볼트 101 문 비밀번호는 "아마타".[CRLF]
1NO0000507	하하! 해냈어. 작년 볼트에서 구한 설계도를 가지고 남는 부품들을 이용해서 기억 회로 연결기를 만들었다구. 난 천재야! 당장, 이 기술을 커먼웰스에 선보여야 겠어![CRLF]
1NO0000508	멍청한 브라운 박사에게서 메모리 칩을 훔쳤지. 그가 사람들에게서 영혼을 훔치는 식으로 말야. 어쨌든, 그 자식은 지 가상 시뮬레이션 프로그램에 너무 빠져 있어서, 몰래 들어가 훔치는게 코흘리개들한테 사탕 빼앗기보다 쉽더군. 물론 그 메모리 칩에 담겨진 기억이 누구의 것인지는 새로운 호스트에 접속해 보지 않는 이상에야 모르겠지만, 일일히 상세하게 분류 되어 있는건 아니니까 뭐 상관은 없어. 아, 정말 새로운 실험체를 기다리기가 힘들군.[CRLF]
1NO0000509	천상에서 흙에 생명을 불어 넣는 신처럼, 그 인조인간에게 메모리 칩을 삽입 시켰다. 녀석은 자신을 하크니스라 불렀다. 자기가 베테랑 전투 요원 쯤 되는걸로 생각하길래, 녀석의 반응 시스템을 조금 손보았다. 실제로 녀석은 정말로 전장에서 적으로는 만나고 싶지는 않은 놈이 되었다. 그녀석이 혼란스러운 잠에서 "깨어났을 때", 우리는 녀석이 오랜동안 뇌사 상태에 빠져 있었다고 말해 주었다. 내가 녀석에게 준 새로운 기억과 얼굴이라면, 아무도 녀석이 원래 누구인지 알아차리는 사람은 없을것이다. 물론 그 녀석 자신도 말이지![CRLF]
1NO0000510	사용자ID: 핑커톤[CRLF][CRLF]비밀번호: 염세주의[CRLF]
1NO0000512	도로시 프라우드[CRLF]
1NO0000513	캐피탈 포스트지 기자[CRLF]
1NO0000514	1월 10일의 늦은 밤, 용맹한 미국군은 앵커리지의 항구에서 진을 치고 있던 중공군에 대해 총 공격을 감행, 모든 적을 섬멸하고 마침내 십수년간의 중국의 지배하에 있던 우리의 도시를 해방시켰습니다.[CRLF]
1NO0000515	진정한 미국인이라면 쳉 의장의 비열한 중공군이 혹한의 영토 알라스카에 대한 무자비한 침공을 감행한 그 날, 미국 전역을 충격으로 몰아넣었던 세계적으로 전례가 없는 외세침략이 일어난 2066년 끔찍했던 겨울의 그 날을 잊을 수 없을 것입니다.[CRLF]
1NO0000516	하지만 끔찍했던 악몽은 이제 드디어 끝이 났고, 진정한 용기의 상징인 미 합중국은 다시한번 자유와 민주주의의 땅이 되었습니다.[CRLF]
1NO0000519	필요 불가결 하지만 때늦은 결정이라는 의견이 지배적인 가운데 미 국무성은 오늘, 캐나다에 대한 합병을 즉각 실시할 것이라고 발표했습니다. [CRLF]
1NO0000520	미 국무성의 이러한 결정은 중공군의 알래스카 침공이 시작된 2066년 겨울 이래, 악화일로를 걸어온 미국과 캐나다 정부간의 오랜 불협화음 끝에 내려졌습니다. 당시 캐나다 지도층은 미 국군의 자국 영토와 영공을 무단횡단하는 행위에 대해 거세게 항의를 해왔지만 미군의 강경한 입장에 결국 두 손 들고 말았습니다.[CRLF]
1NO0000521	이후 미국 정부가 전쟁물자 확보를 위해 캐나다의 울창한 삼림지대에서 생산되는 목재 및 기타 천연자원에 전적으로 의존하게 되면서 두 국가 간의 갈등의 골은 더욱 깊어졌다.[CRLF]
1NO0000522	그러나 국가 합병이라는 초강수를 두게 된 배경에는 최근에 벌어진 알라스카 송유관에 대한 테러행위에 있습니다. [CRLF]
1NO0000523	"참는 것에도 한계가 있소." 캐나다 주재 미군 사령관 버즈 뱁콕의 말입니다. "빨갱이들이 쥬노(알래스카주의 항구 도시)의 시내까지 아직 밀고 내려 오지 못한 이유가 뭔지 아십니까? 바로 전방에 있는 우리 미군들의 노력 때문이오. 눈 앞의 적을 상대하기도 벅찬데 이젠 송유관을 박살낸 세력까지도 신경써야 한다는 말이오? 그럴 여력은 없소. 금일부로 우리 미군은 캐나다의 완전 합병을 위한 자산 및 자원 인계 작업에 투입 될것이오. 이제 캐나다는 우리 영토요. 새삼스러울 것도 없지 않소, 캐나다는 언제나 작은미국이었으니."[CRLF]
1NO0000524	월터 스트리트에서 빗 먼로[CRLF]
1NO0000526	전국적으로 빈번히 일어나는 폭동사태에 대한 정부의 인내심이 마침내 한계점에 달한 것으로 보인다.[CRLF]
1NO0000527	최근 기자회견에서 워렌 에클레스턴 백악관 대변인은 다음과 같이 말했다:[CRLF]
