1QU0000001	아빠한테 걸어가 보아요.
1QU4000023	모텔로 돌아가 아지트와 연결된 단말기를 통해 또다른 지시가 있는지 확인하십시오.
1QU4000024	특수 색안경과 순서지를 이용해서 스파이 벙커에 들어가십시오.
1QU4000025	함정에서 탈출하십시오!
1QU4000026	모텔에 있는 1D번 방으로 가서 스파이를 조사하십시오.
1QU4000027	모텔의 1D번 방에 있는 죽은 중국 스파이의 금고 키를 찾으십시오.
1QU4000028	홀로테이프에 녹음된 첩보 보고를 들으십시오.
1QU4000029	모텔 1D번 방의 변기 물탱크에서 특수 색안경을 찾으십시오.
1QU4000030	스파이가 빼돌린 것이 확실히 무엇인지와 그에 대한 대가가 무엇인지를 스파이 벙커에서 조사하십시오.
1QU4000031	자동안전 조정간을 사용해서 잠수함의 자폭장치를 작동시키십시오.
1QU4000032	잠수함이 자폭하기 전에 탈출하십시오!
1QU4000033	강에 떠있는 배를 조사하십시오.
1QU4000034	포인트 룩아웃까지 안전하게 이동하십시오.
1QU4000035	포인트 룩아웃으로 가는 동안 휴식을 취하십시오.
1QU4000036	저택을 조사하십시오.
1QU4000037	저택의 주인이 침입자를 물리치는 것을 도오십시오.
1QU4000038	저택의 주인과 이야기하십시오.
1QU4000039	던체스 갬빗이라는 이름의 배를 남겨두고 가십시오.
1QU4000040	건물 서쪽의 위층에 있는 무너진 부분을 통한 침입을 막아라.
1QU4000041	건물 서쪽의 무너진 부분을 통한 침입을 막아라.
1QU4000042	침입자들의 최후의 일격을 무마하십시오.
1QU4000043	대성당에 자리잡고 있는 원주민들에 대한 조사를 실시하십시오.
1QU4000044	거대한 펑가 나무를 찾아 씨앗을 구하십시오.
1QU4000045	대성당으로 돌아가십시오.
1QU4000046	데스먼드와 그의 제의에 대해 대화하십시오.
1QU4000047	원주민들의 우두머리가 있는 장소를 찾으십시오.
1QU4000048	원주민들의 우두머리에게서 더 많은 정보를 캐내라.
1QU4000049	그 뇌에 대한 더 많은 것을 알아내라.
1QU4000050	데스먼드에게 돌아가 알아낸 정보를 전달하십시오.
1QU4000051	데스먼드와 이야기하십시오.
1QU4000052	방해전파 발생장치를 대관람차에 설치하십시오.
1QU4000053	저택으로 돌아가십시오.
1QU4000054	방해전파 발생장치를 대관람차에 설치하거나, 쓰레기 압축기로 그것을 부수어라.
1QU4000055	쓰레기 압축기로 방해전파 발생장치를 부수어라.
1QU4000056	대관람차를 작동시키십시오.
1QU4000057	데스먼드를 찾으십시오.
1QU4000058	준비가 됐으면 데스먼드에게 이야기하십시오.
1QU4000059	데스먼드와 함께 그 교수라는 자가 있는 곳으로 이동하십시오.
1QU4000060	데스먼드를 죽이거나 그 교수를 죽이십시오.
1QU4000061	데스먼드를 죽이십시오.
1QU4000062	그 교수를 죽이십시오.
1QU4000063	교수와 대화를 하거나 그 교수를 죽이십시오.
1QU4000064	그 교수와 대화하십시오.
1QU4000067	등대로 이동하십시오.
1QU4000068	데스먼드를 찾아 그를 멈추게 하십시오.
1QU4000073	데스먼드와 대화하십시오.
1QU4000075	경기장에 들어가 플릭에게 신호를 하여 구울사냥 사파리를 시작하십시오.
1QU4000076	플릭의 사파리에서 살아남아라.
1QU4000077	구울사냥 사파리에 참가하려면 플릭에게 1000 캡을 지불하십시오.
1QU4000078	플릭에게 사파리에서 살아남았다는 것을 알려주십시오.
1QU5000001	황무지 어딘가에서 흘러 나온 라디오 신호의 정체를 조사 하십시오.
1QU5000002	감금실의 출구를 찾으십시오.
1QU5000003	당신의 장비를 회수 하십시오.
1QU5000004	감금실에서 샐리를 구출 하십시오
1QU5000005	우주선의 기관실로 가십시오.
1QU5000006	(선택) 감금실의 나머지 포로들을 풀어 주십시오.
1QU5000007	소마와 싸워 경비병들의 주의를 끄십시오.
1QU5000008	외계인 간수를 물리치십시오.
1QU5000009	감금실의 출구를 계속 찾으십시오.
1QU5000010	동면 된 사람들을 구출하십시오.
1QU5000011	냉기 연구실의 냉각기를 파괴 하십시오.
1QU5000012	격납고의 냉각기를 파괴 하십시오.
1QU5000013	로봇 생산실의 냉각기를 파괴 하십시오.
1QU5000014	우주선의 꼭대기에 갈 수 있는 권한을 획득 하십시오.
1QU5000015	샐리와 이야기 하십시오.
1QU5000017	전송 장치를 가동 시키십시오.
1QU5000018	(선택) 구출된 사람들로 부터 도움을 요청 하십시오.
1QU5000019	우주선의 함교에 가십시오.
1QU5000020	죽음의 광선포를 무력화 하십시오.
1QU5000021	함교를 사수 하십시오.
1QU5000022	우주선의 공격을 무력화 하십시오.
1QU5000023	황무지로 돌아 가십시오.
1QU5000024	(선택) 우주선을 자폭 시키십시오.
1QU5000025	엔진실의 전송 장치를 가동 하십시오.
1QU5000026	외계인 선장을 물리치십시오.
