0TE0000007	Diary Entry #86
0TE1000034	Set Behavior: Bar Stairs Guard
0TE1000041	Set Behavior: Bar Door Guard
0TE1000042	Set Behavior: Personnel Office Patrol
0TE1000043	Set Behavior: Security Office Patrol
0TE1000049	Set Behavior: Cashier's Counter Patrol
0TE1000050	Set Behavior: Guard Switch Room
0TE1000051	Unlock Electrical Closet Door
0TE1000052	Security Log 1
0TE1000053	Security Log 2
0TE1000056	Sinclair Visit
0TE1000057	Holding Cell
0TE1000058	Communications
0TE1000061	Disable Hallway Loudspeakers
0TE1000062	> <Download Starlet Hologram Code Snippet>
0TE1000063	Download Recipe: Super-Heated Knife!
0TE1000070	Set Behavior: Area #1 Patrol
0TE1000071	Set Behavior: Area #2 Patrol
0TE1000072	Sierra Madre Audio Subsystem
0TE1000074	Turn Speakers Off
0TE1000092	Turn Off Speakers
0TE1000110	Disengage Vault Security Protocols
0TE1000111	Engage Vault Security Protocols
0TE1000114	Vault Security Protocols Information
0TE1000115	Vault Security System Protocols: Warning.
0TE1000120	Clinic Power Status
0TE1000122	Disengage Main Power
0TE1000125	Shut Alarms Down
0TE1000126	Start Alarms
0TE1000127	Sierra Madre Host Services Protocol
0TE1000129	Deactivate Hologram
0TE1000130	Activate Hologram
0TE1000137	Activate Holographic Greeter
0TE1000138	Activate Holographic Security
0TE1000143	Access Music Controls
0TE1000146	Vera Keyes.
0TE1000147	Vera.
0TE1000148	Sinclair's Personal Accounts.
0TE1000149	Security Enabled - Terminal Locked.
0TE1000152	Disengage Contraband Room Lock
0TE1000153	Prohibited Items
0TE1000154	Security System Installation
0TE1000156	Elevator Will Depart Shortly Upon Security Shutdown
0TE1000157	Proceed?
0TE1000159	Yes
0TE1000160	No
0TE1000162	Only the trustworthy may enter my Vault.
0TE1000163	F.S.
0TE1000165	Unlock Door to Vault
0TE1000168	Vault Door Control
0TE1000171	Unlock Security Door
0TE1000174	Dispenser Codes
0TE1000175	Download Dispenser Code: Med-X
0TE1000184	Open Maintenance Access
0TE1000185	Lock Maintenance Access
0TE1000186	Unable To Access Maintenance Controls
0TE1000187	Elevator Protocols: Warning.
0TE1000190	Retrieve Hologram Technology Data
0TE1000191	Retrieve Vending Replicator Schematics
0TE1000192	Retrieve Atmospheric Systems Analysis
0TE1000195	Unlock Security Closet
0TE1000196	Recalibrate Hologram IFF
0TE1000200	Gas Leak
0TE1000201	-Ventilation Control System-
0TE1000203	Warning: The ventilation system should only be taken down for routine maintenance.
0TE1000205	Activate Ventilation System.
0TE1000206	Deactivate Ventilation System.
0TE1000209	Subject: In Case of Emergency.
0TE1000210	Second Shifts
0TE1000211	Suits are here.
0TE1000221	More Explosives
0TE1000228	Disable Hologram
0TE1000229	Chat
0TE1000232	Substation Status
0TE1000233	Ventilation System Status
0TE1000235	Reset Ventilation System
0TE1000236	Lock Gate
0TE1000239	Locker Key
0TE1000240	Suit Damage
0TE1000242	Welcome, Mr. Ennis!
0TE1000243	Recent e-mails:
0TE1000245	To: Director Simmons
0TE1000247	In case of emergencies, power regulation procedures can be carried out from this station. However, this practice is not recommended for regular use. Please see your supervisor concerning whether use of this station is warranted.
0TE1000249	Transfer Control To This Station.
0TE1000252	Check Hologram Status
0TE1000261	Maintenance Staff Information:
0TE1000263	Maintenance Staff Warning
0TE1000266	Download Starlet Hologram Code Snippet
0TE1000267	Another Shipment?
0TE1000268	These Knives!
0TE1000271	Theater Controls
0TE1000272	Stage Controls
0TE1000275	The Tampico's Shows List
0TE1000276	The Tampico's Performance Protocols
0TE1000277	Sierra Madre's Lobby Security Code
0TE1000278	Urgent Message for Mrs. E. Sainz
0TE1000281	Open Theater Doors
0TE1000282	Activate Hologram Security Protocols
0TE1000284	Unlock Door
0TE1000285	Bunker 13 Network
0TE1000286	Welcome, Father Elijah.
0TE1000288	Science Entry 112
0TE1000289	Download Holomessage
0TE1000290	Automated Message From Sierra Madre
0TE1000292	Download Atmospheric Systems Analysis?
0TE1000297	Download Replicator Schematics?
0TE1000302	Download Hologram Technology Module?
0TE1000309	Safety Suits
0TE1000312	Exhaustion
0TE1000315	Appointment Calendar
0TE1000319	Unpleasant Visit
0TE1000322	Security Measure Meeting
0TE1000325	Notes on Emergency Protocols
0TE1000326	Hologram: Service Protocols 2.3
0TE1000327	Sierra Madre Police Network
0TE1000330	Dispenser Report
0TE1000333	Contracts
0TE1000336	Promotion
0TE1000339	Special Orders
0TE1000342	Damn Raid
0TE1000345	Survey Schedules
0TE1000348	Visit
0TE1000351	Vending Machine Installation
0TE1000352	Search and Seizure
0TE1000353	No More Parking Tickets
0TE1000356	Maintenance Report
0TE1000365	Personal Log
0TE1000374	Infrastructure
0TE1000377	Retrieve Theater Ambient Track
0TE1000379	Retrieve Restaurant Ambient Track
0TE1000381	Retrieve Suites Ambient Track
0TE1000385	Reprogram Turret Defenses.
0TE1000390	Override Emergency Door Seal
0TE1000394	To Vera.
0TE1000395	Warning : Private Access Only
0TE1000396	Open Personal Logs?
0TE1000402	Back.
0TE1000418	Hologram: Security Protocols 2.4
0TE1000419	Hologram: Addendum: Appearance 2.4.1
0TE1000420	Hologram: Security Protocols 2.5
0TE1000421	Hologram: Threat Detection 2.6
0TE1000422	Hologram: Threat Response 2.6.2
0TE1000423	Hologram: Security Patrols 2.7
0TE1000424	Hologram: Hologram Emitters 5.0
0TE1000427	Hologram: Installation and Maintenance 1.1
0TE1000428	Hologram: Maintenance 8.3
0TE1000433	Set Behavior: Alternate Route Patrol
0TE1000434	Set Behavior: Default Route Patrol
0TE1000435	Turn Off Security Force Field
0TE1000436	Turn On Security Force Field
0TE1000439	Status: Patrolling first floor.
0TE1000440	Status: Patrolling second floor.
0TE1000441	Uploading new behavior pattern...
0TE1000443	Powering down ambient audio system...
0TE1000444	Checking status...
0TE1000446	Status: Guarding Electric Pod Access.
0TE1000447	Status: Patrolling Computer Control.
0TE1000450	Accessing Data...
0TE1000451	Currently patrolling Water Valve Control.
0TE1000452	Currently patrolling Terminal Control #2.
0TE1000455	Currently patrolling Casino Floor West.
0TE1000456	Currently patrolling Bar Stairs.
0TE1000457	Currently guarding Bar Stairs.
0TE1000461	Displaying log...
0TE1000462	Currently guarding Bar Door.
0TE1000463	Currently patrolling Personnel Office.
0TE1000464	Currently patrolling Security Office.
0TE1000469	Currently patrolling Cashier's Counter.
0TE1000470	Currently guarding Electrical Switch Room.
0TE1000473	Unlocking...
0TE1000479	Hallway Speakers Disabled.
0TE1000480	Starlet Hologram Code Downloaded.
0TE1000481	Recipe Downloaded.
0TE1000484	Currently patrolling default route.
0TE1000485	Currently patrolling alternate route.
0TE1000488	Shutting down...
0TE1000500	Disengaging vault security...
0TE1000501	Activating vault security...
0TE1000502	Displaying maintenance staff warning...
0TE1000503	Accessing Log...
0TE1000504	Accessing security protocols...
0TE1000508	Shutting down main power...
0TE1000509	Turning alarms off...
0TE1000510	Turning alarms on...
0TE1000512	Starting up projector...
0TE1000515	Activating greeter...
0TE1000516	Activation code required.
0TE1000517	Code incomplete.  Not enough power...
0TE1000518	Code incomplete. Cannot process request...
0TE1000519	Code incomplete. Running on limited power.
0TE1000520	Activating lobby security...
0TE1000521	Accessing music database...
0TE1000522	Holodisk Extracted. File not found...
0TE1000524	Accessing logs...
0TE1000525	Error. Vault Security Enabled...
0TE1000530	Vault Security Active...
0TE1000531	Unlocking vault's seals...
0TE1000532	Accessing vault mechanism...
0TE1000533	Unlocking security door...
0TE1000537	Warming up projector...
0TE1000538	Opening maintenance door...
0TE1000539	Locking maintenance door...
0TE1000540	Vault Security Systems Compromised...
0TE1000542	Granting database access...
0TE1000545	Unlocking security closet...
0TE1000546	Reprogramming security hologram IFF...
0TE1000549	Turning on ventilation system...
0TE1000550	Turning off ventilation system...
0TE1000563	Power Levels Minimal
0TE1000564	System Reset
0TE1000565	Substation Lock Activated
0TE1000569	Transferring...
0TE1000570	Cashier is currently active.
0TE1000573	Dealer 1 Servicing Roulette Table.
0TE1000574	Dealer 2 Servicing Blackjack Table A.
0TE1000576	Download Complete.
0TE1000579	Accessing theater controls...
0TE1000580	System Error...
0TE1000581	Displaying upcoming shows...
0TE1000582	Displaying performance protocols...
0TE1000583	Retrieving security code information...
0TE1000584	Welcome, Evelyn...
0TE1000585	Unlocking theater doors...
0TE1000591	Downloading analysis...
0TE1000592	Canceling request...
0TE1000593	Downloading schematics...
0TE1000595	Downloading module...
0TE1000628	Theater control inaccessible.
0TE1000629	Retrieving music track...
0TE1000630	Restaurant control inaccessible.
0TE1000632	Suites control inaccessible.
0TE1000634	Access Denied. Security System Lockdown...
0TE1000635	Sentry Turrets Reprogrammed...
0TE1000636	Unable to Reprogram Turret Defenses...
0TE1000637	Emergency Door Seal Released.
0TE1000641	Returning to Previous Menu...
0TE1000664	Deactivating security force field...
0TE1000665	Activating security force field...
0TE1000666	Turning off alarms...
0TE2000003	Download Grand Staircase Map
0TE2000006	Year 2077.
0TE2000007	Year 2078.
0TE2000010	Electric Door Control.
0TE2000017	Year 2083.
0TE2000018	Year 2084.
0TE2000019	Year 2095.
0TE2000022	Year 2097.
0TE2000023	Year 2100.
0TE2000024	Year 2101.
0TE2000027	Year 2108.
0TE2000028	Year 2113.
0TE2000029	Year 2123.
0TE2000032	Year 2096 I.
0TE2000033	Year 2096 II.
0TE2000036	Re: Shipping Error
0TE2000037	Re: Bus Tour?
0TE2000038	Re: Shipping Problems (AGAIN!)
0TE2000039	Downloading map...
0TE2000053	Accessing E-Mail....
0TE3000003	Research Projects
0TE3000004	Log Entries
0TE3000005	Requisition Supplies and Equipment
0TE3000007	X-8 Bio-Mechanical Testing Facility
0TE3000009	Release Cyberdogs
0TE3000010	Release Unusual Specimen
0TE3000011	Shipping Department: Unusual Shipment
0TE3000012	Shipping Department: Please Advise
0TE3000013	Shipping Department in Lockdown
0TE3000014	Regarding Shipping Department Lockdown
0TE3000018	X-8 Test Subject Information
0TE3000019	X-8 Institutional Test Internal Memo
0TE3000020	X-8 Residential Test Internal Memo
0TE3000024	Bio-Mechanical Splicing Rules
0TE3000025	Splice Robot and Dog
0TE3000028	Splice Lobotomite and Robot
0TE3000030	Splice Lobotomite and Dog
0TE3000032	Splice Robot and Unusual Specimen
0TE3000034	Clear Splicing Area
0TE3000035	Disable Splicing Room Security
0TE3000038	Kudos!
0TE3000039	RE: Test Subject Observations
0TE3000040	RE: RE: RE: Test Subject Observations
0TE3000041	Fwd: Re: Field Gun Prototype
0TE3000044	Nightstalker Research
0TE3000045	Server Sniffer - FW: RE: VR Test
0TE3000046	X-13 Shipment Notice
0TE3000047	Test Subject Observations
0TE3000048	RE: RE: Test Subject Observations
0TE3000049	Please Select From The Following Options;
0TE3000051	Begin Basic Infiltration Test
0TE3000052	Replay Basic Infiltration Test
0TE3000054	Begin Advanced Infiltration Test
0TE3000055	Replay Advanced Infiltration Test
0TE3000057	Begin Expert Infiltration Test
0TE3000058	Replay Expert Infiltration Test
0TE3000060	Begin Robot Compliance Test
0TE3000061	Replay Robot Compliance Test
0TE3000079	Retrieve Student Records
0TE3000089	X-12 Request for Assistance
0TE3000090	Assistance Granted
0TE3000091	K9000 Cyberdog Gun Sealed in X-12
0TE3000092	Facility X-13, Project 'Blue Blood'
0TE3000093	>\ Scanning for authorized suit signatures...
0TE3000095	Unlock Elevator to Test Chamber
0TE3000099	New Target: X-42 Giant Robo-Scorpion
0TE3000103	Basic Test
0TE3000104	Replay Basic Test
0TE3000105	Advanced Test
0TE3000107	Replay Advanced Test
0TE3000111	X-42 Giant Robo-Scorpion Test Log
0TE3000112	Target Drone Effectiveness Log
0TE3000113	Activate Target Drones
0TE3000116	Backup Generator Log
0TE3000117	Activate Backup Generator
0TE3000118	WARNING: Activating backup power at this stage can damage or destroy the prototype.
0TE3000124	Emergency Shutdown Procedure Log
0TE3000125	Initiate Emergency Shutdown
0TE3000129	Suggestion.
0TE3000136	What the hell...?!
0TE3000137	Check out this mod I've been working on!
0TE3000141	Get off your butt, Butz!
0TE3000146	Mk II Torso Research
0TE3000150	Mk II Boot Research
0TE3000154	Mk II Glove Research
0TE3000157	Test Area A - Review
0TE3000162	RE: X-13 Shipment Notice
0TE3000167	Test Observations
0TE3000170	Begin Weather Test
0TE3000171	End Weather Test
0TE3000174	Retrieve Richie Marcus' Midterm Grades
0TE3000177	Retrieve Cherie O'Bannon's Schedule
0TE3000180	Retrieve Betsy Bright's Records
0TE3000184	Sonic Emitter Data
0TE3000189	Download EM Pulse Wave Module
0TE3000192	Begin Testing
0TE3000193	Display Test Status
0TE3000201	Test Selection
0TE3000209	Requisition Order: Dispensers
0TE3000210	Dispenser Funding Update
0TE3000213	Sierra Madre: Test Case?
0TE3000214	Y-17 Trauma Harness Testing Results
0TE3000215	Y-17 Trauma Harness Action Items
0TE3000218	Requisition Order: Holograms
0TE3000219	Vera Keyes Hologram Progress Report
0TE3000222	Requisition Order: Chemical Suits
0TE3000226	EM Pulse Wave Module on Loan
0TE3000227	Project: Burke and Project: Hare
0TE3000228	Important Reminder to Myself
0TE3000237	Log Entry 01
0TE3000238	Log Entry 02
0TE3000239	Log Entry 03
0TE3000240	Elijah's Journal - Day 2
0TE3000241	Elijah's Journal - Day 3
0TE3000242	Elijah's Journal - Day 4
0TE3000243	Elijah's Journal - Day 4 - Addendum
0TE3000253	Enter Institutional Data Retrieval
0TE3000254	Enter Residential Cyberdog Guard Test
0TE3000256	Unusual Specimen Test Results
0TE3000257	Accessing current research projects...
0TE3000259	Accessing available supplies...
0TE3000260	Releasing Dogs...
0TE3000261	Releasing Specimen...
0TE3000262	Initiating Splicing Procedure...
0TE3000263	Insufficient Supplies
0TE3000264	Restocking...
0TE3000271	Initiating Clean Up...
0TE3000272	Security Disabled...
0TE3000273	Displaying Message...
0TE3000277	Displaying Research Notes
0TE3000282	X-13 Simple Detection Grid Online.
0TE3000285	X-13 Detection Grid Online.
0TE3000288	X-13 Advanced Detection Grid Online.
0TE3000291	Tactical Robobrains Deployed.
0TE3000302	Acquiring Records...
0TE3000305	Access Denied.
0TE3000306	Elevator Door Unlocked.
0TE3000307	Altering target parameters...
0TE3000308	Area Loaded...
0TE3000311	Test Subject Improperly Equipped...
0TE3000316	Powering up drones...
0TE3000318	Activating backup power...
0TE3000320	Initiating emergency shutdown...
0TE3000331	Displaying Note...
0TE3000336	Displaying Data...
0TE3000342	Initiating...
0TE3000344	Records Acquired...
0TE3000348	Module Previously Downloaded...
0TE3000349	Module Downloaded...
0TE3000350	Please Equip Stealth Suit Mk II.
0TE3000351	Basic Infiltration Test In Progress...
0TE3000352	Basic Infiltration Test In Progress
0TE3000353	Advanced Infiltration Test In Progress...
0TE3000354	Advanced Infiltration Test In Progress
0TE3000355	Expert Infiltration Test In Progress...
0TE3000356	Expert Infiltration Test In Progress
0TE3000357	Robot Compliance Test In Progress...
0TE3000358	Robot Compliance Test in Progress
0TE3000361	Abnormal Readings... Caution When Entering
0TE3000362	Retrieving Results...
0TE4000001	Hopeville Missile Silo Maintenance:
0TE4000004	Unlock Maintenance Access Door
0TE4000005	Maintenance Access Status
0TE4000007	Maintenance Access Status Log
0TE4000009	Hopeville Missile Silo Security Systems:
0TE4000012	Deactivate Second Level Robot Security
0TE4000013	Second Level Security Status
0TE4000015	Second Level Security Log
0TE4000016	Hopeville Missile Silo Mainframe:
0TE4000019	Unlock Silo's Bunker Doors
0TE4000022	Eyebot Maintenance Reports
0TE4000024	Access Eyebot Maintenance Area
0TE4000025	Access Main Corridor
0TE4000027	Eyebot maintenance security system activated.
0TE4000028	Do you wish to proceed?
0TE4000033	Hopeville Missile Silo:
0TE4000034	Welcome, Commander.
0TE4000036	Deactivate Personal Sentry Systems
0TE4000037	Open Personal Sentry Doors
0TE4000038	Personal Sentry Security Status
0TE4000043	Hack Security Turrets
0TE4000044	First Level Turret Security Status
0TE4000048	Email to City Treasurer
0TE4000049	Reply from City Treasurer
0TE4000052	Treasurer's Report
0TE4000053	Inter-Office Email
0TE4000054	Memo from Commander Devlin
0TE4000057	Noise
0TE4000058	Earthquakes
0TE4000059	More Earthquakes
0TE4000063	Unlock Prototype Bot Pod
0TE4000064	Bot Pod Status
0TE4000066	Maintenance Department Log
0TE4000067	Commissary Notice
0TE4000068	Commissary Reminder
0TE4000071	Open Repair Pod 1 - Unoccupied
0TE4000072	Open Repair Pod 2 - OCCUPIED
0TE4000075	Open Repair Pod 3 - Unoccupied
0TE4000076	Password "GUEST" Accepted
0TE4000077	Welcome to the Mainframe
0TE4000085	Unlock Hydraulics Access Door
0TE4000086	Hydraulics Access Status
0TE4000091	Sentry Security Access Door
0TE4000092	Sentry Security Access Status
0TE4000094	Hopeville Missile Base Armory:
0TE4000097	Unlock Armory
0TE4000098	Armory Access Status
0TE4000100	Ashton Missile Silo:
0TE4000104	Storage Room Alpha One:
0TE4000110	Open Gate
0TE4000111	Maintenance Door Unlocked.
0TE4000112	Maintenance Access Locked.
0TE4000113	Maintenance Access Unlocked.
0TE4000114	Accessing Status Log...
0TE4000116	Robot Security Deactivated.
0TE4000117	Security Level Active.
0TE4000118	Security Level Inactive.
0TE4000119	Accessing Security Log...
0TE4000120	Opening Silo...
0TE4000121	Door Unlocked.
0TE4000122	Doors Unlocked.
0TE4000123	Security Systems Deactivated.
0TE4000124	Sentry Doors Opened.
0TE4000125	Sentry Security Active.
0TE4000126	Sentry Security Deactivated.
0TE4000127	Security Turrets Compromised...
0TE4000128	Turret Security Active.
0TE4000129	Error: Turret Security Compromised...
0TE4000130	Prototype Bot Pod Unlocked.
0TE4000131	Bot Pod Locked.
0TE4000132	Bot Pod Unlocked.
0TE4000133	Accessing Maintenance Log...
0TE4000134	Door Malfunction...Please Try Again
0TE4000135	Repair Pod 2 Opened
0TE4000136	ERROR - Security robots still active.
0TE4000137	ERROR: Pod 2 Occupant Non-Operational.
0TE4000139	Hydraulics Door Unlocked.
0TE4000140	Hydraulics Access Locked.
0TE4000141	Hydraulics Access Unlocked.
0TE4000142	Sentry Security Door Unlocked.
0TE4000143	Sentry Security Access Locked.
0TE4000144	Sentry Security Access Unlocked.
0TE4000145	Unlocking Armory Access...
0TE4000146	Armory Access Locked.
0TE4000147	Armory Access Unlocked.
0TE4000150	Opening Gate...
