0TE0000007	일기 #86
0TE0002086	1층 접근 리스트에 얼굴 데이터 추가 완료.
0TE0002087	메세지를 불러오는 중...
0TE0002089	파일 여는 중...
0TE0002106	2층 접근 리스트에 얼굴 데이터 추가 완료.
0TE0002107	임원 보안 배지 인쇄 완료.
0TE0002115	메시지 해독 중...
0TE0002116	기록에 접근 중...
0TE0002135	해제 중... 완료.
0TE0002136	기록 다운로드 완료.
0TE0002138	작동 중
0TE0002140	오프라인
0TE0002147	경비 로봇을 정지하는 중
0TE0002160	일지 여는 중...
0TE0002165	볼트 생활 지원 시스템
0TE0002169	포탑: 활성화
0TE0002170	프로텍트론: 활성화
0TE0002171	센트리봇: 대기 중
0TE0002181	포탑을 대기 모드로 전환 중.
0TE0002183	다운로드 중... 완료.
0TE0002189	메일 시스템 불러오는 중...
0TE0002190	관리 시스템 불러오는 중...
0TE0002194	메세지 불러오는 중...
0TE0002203	자동 메세지 응답 시스템 불러오는 중...
0TE0002239	...접근 무효 - 하우스 명령 449b
0TE0002240	모든 연결 끊김
0TE0002247	암호 초기화됨.
0TE0002248	경고: 포탑의 타겟 우선순위 초기화됨!
0TE0002249	봉쇄 프로토콜 발동 중
0TE0002254	잠금 해제 중
0TE0002257	요청 수행 중...완료!
0TE0002259	접근 허가됨, 잠금 중...
0TE0002260	코스 변경이 확인되었습니다.
0TE0002261	코스 변경이 중지되었습니다.
0TE0002262	해독 중!
0TE0002263	불가능한 명령입니다.
0TE0002264	접근 허가. 잠금 해제 중...
0TE0002265	접근 거부. 관리자에게 연락하십시오.
0TE0002266	접근 허가됨, 펌프장 가동 중
0TE0002268	퍼센트: 65
0TE0002269	퍼센트: 15
0TE0002271	다운로드 중...
0TE0002289	접근 허가됨, 잠금 해제 중...
0TE0002348	[데이터 손상됨]
0TE0002355	접근 패널을 여는 중...
0TE0002356	접근 패널을 닫는 중...
0TE0002357	환영합니다, 교도소장님.
0TE0002367	메일 보조 시스템에 접속 중...
0TE0002375	문이 열렸습니다.
0TE0002376	메일 서버 접속 중...
0TE0002390	접근 허가됨, 잠그는 중...
0TE0002393	근무자 명단에 접속했습니다
0TE0002403	거주민 지역 게이트 문이 열렸습니다.
0TE0002404	데이터 백업 게이트 문이 열렸습니다.
0TE0002405	오류! 게이트 문이 과부하 상태입니다.
0TE0002410	고립 확인됨.
0TE0002411	파티션 확인됨.
0TE0002418	고립 실행 중...
0TE0002419	파티션 실행 중...
0TE0002424	외부 환기구 닫는 중...
0TE0002425	백업 단말기로 제어 권한 이동 중...
0TE0002433	통지 전송 완료...
0TE0002434	확인 메뉴 접근 중...
0TE0002495	원격 진단 가동 시도 중
0TE0002502	시스템 오프라인...
0TE0002503	... 메일 불러오기에 성공했습니다.
0TE0002506	볼트 21 게스트 서비스
0TE0002507	별천지!
0TE0002508	집을 벗어나서도 메일을 확인하세요!
0TE0002509	우리 풍성한 식사를 즐겨주세요!
0TE0002510	당신의 미래를 위한 과거의 조각
0TE0002511	확실히 만족시켜 드립니다!
0TE0002512	전해져야 할 이야기
0TE0002513	이제 우리 이야기는 당신의 이야기입니다
0TE0002514	우리 후원자를 만나보세요!
0TE0002515	계속 연락하고 지내세요!
0TE0002517	... 메일 목록을 성공적으로 불러왔습니다.
0TE0002524	... 메일 불러오기 완료
0TE0002525	... 메일 불러오기 완료.
0TE0002527	설정 업데이트 됨
0TE0002537	전지판의 효율성은 현재 75% 입니다
0TE0002538	전지판의 효율성은 현재 80% 입니다
0TE0002539	전지판의 효율성은 현재 85% 입니다
0TE0002540	전지판의 효율성은 현재 90% 입니다
0TE0002541	전지판의 효율성은 현재 95% 입니다
0TE0002542	전지판의 효율성은 현재 100% 입니다
0TE0002543	전지판의 효율성은 현재 120% 입니다
0TE0002544	전지판 배열이 최적화 되었습니다.
0TE0002545	... 데이터에 접속 중.
0TE0002547	... 메시지를 읽을 수 없습니다.
0TE0002548	... 생명체 우리의 전원을 종료하는 중.
0TE0002549	... 메인프레임으로 돌아가는 중.
0TE0002550	... 전기 공급 용량 74%.
0TE0002551	... 우리 문 안전 확보.
0TE0002552	... 옵션에 접속 중.
0TE0002554	...루틴 적용됨...
0TE0002556	...모든 시스템 이상 없음...
0TE0002557	루틴을 선택해주세요
0TE1000003	경비 홀로그램 상태를 확인
0TE1000005	행동 설정: 1층 순찰
0TE1000006	행동 설정: 2층 순찰
0TE1000007	보안 게시물을 본다
0TE1000008	관리 게시물을 본다
0TE1000009	시에라 마드레 극장 네트워크
0TE1000011	배경 오디오 시스템 전원을 끈다
0TE1000012	상태 보고서
0TE1000018	행동 설정: 컴퓨터 제어실 순찰
0TE1000019	행동 설정: 일렉트릭 포드 접근을 지킴
0TE1000020	싱클레어 씨 - E.B.E
0TE1000025	행동 설정: 제수 밸브 제어실 순찰
0TE1000026	행동 설정: 단말기 제어실 #2 순찰
0TE1000032	행동 설정: 카지노 층 서쪽 순찰
0TE1000033	행동 설정: 바 계단 순찰
0TE1000034	행동 설정: 바 계단 지킴
0TE1000041	행동 설정: 바 문 지킴
0TE1000042	행동 설정: 인사실 순찰
0TE1000043	행동 설정: 경비실 순찰
0TE1000049	행동 설정: 계산대 순찰
0TE1000050	행동 설정: 스위치 룸 지킴
0TE1000051	배전반 문을 연다
0TE1000052	경비 일지 1
0TE1000053	경비 일지 2
0TE1000056	싱클레어의 순회
0TE1000057	유치장
0TE1000058	소통
0TE1000061	복도의 스피커를 끈다
0TE1000062	<여배우 홀로그램 코드 일부분을 다운로드>
0TE1000063	<제조법 다운로드: 달군 코스믹 나이프>
0TE1000070	행동 설정: #1구역 순찰
0TE1000071	행동 설정: #2구역 순찰
0TE1000072	시에라 마드레 오디오 서브 시스템
0TE1000074	스피커를 끈다
0TE1000092	스피커를 끈다
0TE1000110	볼트 보안 프로토콜 해제
0TE1000111	볼트 보안 프로토콜 가동
0TE1000114	볼트 보안 프로토콜 정보
0TE1000115	볼트 보안 시스템 프로토콜: 경고
0TE1000120	클리닉 전원 상태
0TE1000122	메인 전원 종료
0TE1000125	알람을 끈다
0TE1000126	알람을 켠다
0TE1000127	시에라 마드레 호스트 서비스 프로토콜
0TE1000129	홀로그램 정지
0TE1000130	홀로그램 가동
0TE1000137	홀로그램 접대원 작동
0TE1000138	홀로그램 경비 작동
0TE1000143	음악 제어 시스템 접속
0TE1000146	베라 키예스
0TE1000147	베라
0TE1000148	싱클레어의 개인 계좌
0TE1000149	보안 적용중 - 단말기 잠김
0TE1000152	밀수품실 잠금 해제
0TE1000153	금지 물품
0TE1000154	보안 설비 시스템
0TE1000156	엘리베이터는 보안 시스템 정지시 곧바로 출발합니다.
0TE1000157	계속하시겠습니까?
0TE1000159	예
0TE1000160	아니오
0TE1000162	신뢰할 수 있는 자만이 나의 볼트에 들어올 수 있다.
0TE1000163	프레데릭 싱클레어
0TE1000165	볼트 문을 연다
0TE1000168	볼트 문 제어
0TE1000171	보안 문 잠금 해제
0TE1000174	자동판매기 코드
0TE1000175	자동판매기 코드: 메드-X 다운로드
0TE1000184	관리 통로를 연다
0TE1000185	관리 통로를 잠근다
0TE1000186	관리 시스템에 액세스할 수 없습니다
0TE1000187	엘리베이터 프로토콜: 경고
0TE1000190	홀로그램 기술 데이터를 얻는다
0TE1000191	자동판매기 자가복제 회로도를 얻는다
0TE1000192	대기 시스템 분석을 얻는다
0TE1000195	경비 보관함 잠금 해제
0TE1000196	홀로그램 피아구분장치 재조정
0TE1000200	가스 누출
0TE1000201	-환기 제어 시스템-
0TE1000203	경고: 환기 시스템은 정기 관리를 위해서만 정지해 주십시오.
0TE1000205	환기장치 가동
0TE1000206	환기장치 정지
0TE1000209	제목: 긴급 상황에는
0TE1000210	두번째 교대
0TE1000211	수트 도착
0TE1000221	더 많은 폭발물
0TE1000228	홀로그램 정지
0TE1000229	잡담
0TE1000232	변전소 상황
0TE1000233	환기 시스템 상황
0TE1000235	환기 시스템 초기화
0TE1000236	게이트 잠금
0TE1000239	사물함 열쇠
0TE1000240	수트 손상
0TE1000242	어서 오십시오, 에니스 씨!
0TE1000243	최근의 메일:
0TE1000245	받는 이: 감독관 시몬스
0TE1000247	긴급 상황의 경우 전력 제어 절차를 이 스테이션에서 실시할 수 있습니다. 다만 일반적인 경우 이 방법은 추천하지 않으므로, 이 스테이션에서의 사용이 승인되었는지 상사에게 확인해 주십시오.
0TE1000249	이 스테이션으로 제어 권한을 옮긴다.
0TE1000252	홀로그램 상태를 확인
0TE1000261	관리직원 정보:
0TE1000263	관리직원 경고
0TE1000266	<여배우 홀로그램 코드 일부분을 다운로드>
0TE1000267	또 출하된 거야?
0TE1000268	그 나이프!
0TE1000271	극장 제어
0TE1000272	스테이지 제어
0TE1000275	탐피코 극장 공연 목록
0TE1000276	탐피코 극장 공연 프로토콜
0TE1000277	시에라 마드레 로비 보안 코드
0TE1000278	E. 세인즈 부인에게로의 긴급 메세지
0TE1000281	극장 문 개방
0TE1000282	홀로그램 보안 프로토콜 가동
0TE1000284	문 잠금 해제
0TE1000285	벙커 13 네트워크
0TE1000286	환영합니다 , 엘라이자 신부님.
0TE1000288	실험 기록 112
0TE1000289	홀로메세지 다운로드
0TE1000290	시에라 마드레에서의 자동 메세지
0TE1000292	대기 시스템 분석을 다운로드하시겠습니까?
0TE1000297	복제장치 회로도를 다운로드하시겠습니까?
0TE1000302	홀로그램 기술 모듈을 다운로드하시겠습니까?
0TE1000309	안전복
0TE1000312	피로도 개선
0TE1000315	업무약속 일정 기록부
0TE1000319	반갑지 않은 방문
0TE1000322	보안 대책 회의
0TE1000325	긴급 프로토콜에 관한 사항
0TE1000326	홀로그램 : 서비스 프로토콜 2.3
0TE1000327	시에라 마드레 경찰 네트워크
0TE1000330	자동판매기 보고서
0TE1000333	계약
0TE1000336	승진
0TE1000339	특별 주문
0TE1000342	빌어먹을 급습
0TE1000345	점검 스케쥴
0TE1000348	방문
0TE1000351	자동판매기 설치
0TE1000352	수색 및 압수
0TE1000353	주차 딱지여 안녕
0TE1000356	관리 보고서
0TE1000365	개인 일지
0TE1000374	기초 공사
0TE1000377	극장 배경 트랙을 얻는다
0TE1000379	레스토랑 배경 트랙을 얻는다
0TE1000381	스위트 룸 배경 트랙을 얻는다
0TE1000385	포탑 방어 시스템 재설정
0TE1000390	비상구 봉쇄를 푼다
0TE1000394	베라에게.
0TE1000395	경고: 개인 접속 전용
0TE1000396	개인 기록을 여시겠습니까?
0TE1000402	돌아간다
0TE1000418	홀로그램: 보안 프로토콜 2.4
0TE1000419	홀로그램: 추가: 외관 2.4.1
0TE1000420	홀로그램: 보안 프로토콜2.5
0TE1000421	홀로그램: 위협 탐지 2.6
0TE1000422	홀로그램: 위협 대응 2.6.2
0TE1000423	홀로그램: 보안 프로토콜 2.7
0TE1000424	홀로그램: 홀로그램 방출기 5.0
0TE1000427	홀로그램: 설치 및 관리 1.1
0TE1000428	홀로그램: 관리 8.3
0TE1000433	행동 설정: 대체 루트 순찰
0TE1000434	행동 설정: 기본 루트 순찰
0TE1000435	보안 자기장을 끈다
0TE1000436	보안 자기장을 켠다
0TE1000439	상태 : 1층을 순찰하고 있습니다.
0TE1000440	상태 : 2층을 순찰하고 있습니다.
0TE1000441	새로운 행동 패턴 업로드 중...
0TE1000443	배경 오디오 시스템 전원을 끄고 있습니다...
0TE1000444	상태를 확인하고 있습니다...
0TE1000446	상태: 일렉트릭 포드 접근을 지키고 있습니다.
0TE1000447	상태: 컴퓨터 제어실을 순찰하고 있습니다.
0TE1000450	데이터에 접근하고 있습니다...
0TE1000451	현재 제수 밸브 제어실을 순찰하고 있습니다.
0TE1000452	현재 단말기 제어실 #2를 순찰하고 있습니다.
0TE1000455	현재 카지노 층 서쪽을 순찰하고 있습니다.
0TE1000456	현재 바 계단을 순찰하고 있습니다.
0TE1000457	현재 바 계단을 지키고 있습니다.
0TE1000461	기록을 표시하고 있습니다...
0TE1000462	현재 바 문을 지키고 있습니다.
0TE1000463	현재 인사실을 순찰하고 있습니다.
0TE1000464	현재 경비실을 순찰하고 있습니다.
0TE1000469	현재 계산대를 순찰하고 있습니다.
0TE1000470	현재 스위치 룸을 순찰하고 있습니다.
0TE1000473	해제 중...
0TE1000479	복도 스피커를 껐습니다.
0TE1000480	여배우 홀로그램 코드를 다운로드했습니다.
0TE1000481	레시피를 다운로드했습니다.
0TE1000484	기본 루트를 순찰하고 있습니다.
0TE1000485	대체 루트를 순찰하고 있습니다.
0TE1000488	종료 중...
0TE1000500	볼트 보안을 해제하고 있습니다...
0TE1000501	볼트 보안을 가동하고 있습니다...
0TE1000502	관리직원 경고를 표시하고 있습니다...
0TE1000503	기록에 접근하고 있습니다...
0TE1000504	보안 프로토콜에 접근하고 있습니다...
0TE1000508	메인 전원을 종료하고 있습니다...
0TE1000509	알람을 끄고 있습니다...
0TE1000510	알람을 켜고 있습니다...
0TE1000512	프로젝터를 가동합니다...
0TE1000515	접대원을 작동시키고 있습니다...
0TE1000516	작동 코드가 필요합니다.
0TE1000517	불완전한 코드입니다. 전력이 부족합니다...
0TE1000518	불완전한 코드입니다. 요구된 처리를 할 수 없습니다...
0TE1000519	불완전한 코드입니다. 제한된 전력으로 가동합니다.
0TE1000520	로비 경비를 작동시키고 있습니다...
0TE1000521	음악 데이터베이스에 접속하고 있습니다...
0TE1000522	홀로디스크가 추출되었습니다. 파일을 찾을 수 없습니다...
0TE1000524	기록에 접근하고 있습니다...
0TE1000525	오류. 볼트 보안 적용중...
0TE1000530	볼트 보안을 가동하고 있습니다...
0TE1000531	볼트의 봉인을 풀고 있습니다...
0TE1000532	볼트 장치에 접속하고 있습니다...
0TE1000533	보안 문의 잠금을 해제하고 있습니다...
0TE1000537	프로젝터를 작동하고 있습니다...
0TE1000538	관리 통로 문을 열고 있습니다...
0TE1000539	관리 통로 문을 잠그고 있습니다...
0TE1000540	볼트 보안 시스템에 문제가 있습니다...
0TE1000542	데이터베이스 액세스 권한을 부여하고 있습니다...
0TE1000545	보안 클로젯 잠금을 풀고 있습니다...
0TE1000546	보안 홀로그램의 피아구분장치를 재조정하고 있습니다...
0TE1000549	환기장치를 가동하고 있습니다...
0TE1000550	환기장치를 정지하고 있습니다...
0TE1000563	파워 레벨 최소
0TE1000564	시스템 초기화
0TE1000565	변전소 잠금 유효화
0TE1000569	권한을 옮기고 있습니다...
0TE1000570	계산원은 현재 작동중입니다.
0TE1000573	딜러 1은 룰렛 테이블에서 사용중입니다.
0TE1000574	딜러 2는 블랙잭 테이블 A에서 사용중입니다.
0TE1000576	다운로드를 완료했습니다.
0TE1000579	극장 제어 시스템에 접속하고 있습니다...
0TE1000580	시스템 오류...
0TE1000581	앞으로의 쇼를 표시하고 있습니다...
0TE1000582	퍼포먼스 프로토콜을 표시하고 있습니다...
0TE1000583	보안 코드 정보를 얻고 있습니다...
0TE1000584	어서 오십시오, 이블린 님...
0TE1000585	극장 문을 열고 있습니다...
0TE1000591	분석을 다운로드하고 있습니다...
0TE1000592	요청을 취소하고 있습니다...
0TE1000593	회로도를 다운로드하고 있습니다...
0TE1000595	모듈을 다운로드하고 있습니다...
0TE1000628	극장 제어 시스템에 접속할 수 없습니다.
0TE1000629	음악 트랙을 얻고 있습니다...
0TE1000630	레스토랑 제어 시스템에 접속할 수 없습니다.
0TE1000632	객실 제어 시스템에 접속할 수 없습니다.
0TE1000634	접근이 거부되었습니다. 보안 시스템이 잠겨있습니다...
0TE1000635	경비 포탑 프로그램을 재설정했습니다...
0TE1000636	포탑 방어 시스템을 재설정할 수 없습니다...
0TE1000637	비상구 봉쇄를 풀었습니다.
0TE1000641	이전 메뉴로 돌아가고 있습니다...
0TE1000664	보안 자기장을 정지시키고 있습니다...
0TE1000665	보안 자기장을 작동시키고 있습니다...
0TE1000666	알람을 끄고 있습니다...
0TE2000003	웅대한 계단 지도 다운로드
0TE2000006	2077년 기록
0TE2000007	2078년 기록
0TE2000010	자동문 제어.
0TE2000017	2083년 기록
0TE2000018	2084년 기록
0TE2000019	2095년 기록
0TE2000022	2097년 기록
0TE2000023	2100년 기록
0TE2000024	2101년 기록
0TE2000027	2108년 기록
0TE2000028	2113년 기록
0TE2000029	2123년 기록
0TE2000032	2096년 기록 I
0TE2000033	2096년 기록 II
0TE2000036	Re: 선적 오류
0TE2000037	Re: 버스 투어?
0TE2000038	Re: 선적 문제 발생 (또!)
0TE2000039	지도 다운로드 중...
0TE2000053	이메일 접속 중...
0TE3000003	연구 프로젝트
0TE3000004	일지 기록
0TE3000005	장비와 보급품 요구
0TE3000007	X-8 생체역학 실험 시설
0TE3000009	사이버독 풀기
0TE3000010	비정상 개체 풀기
0TE3000011	배송 부서: 특이한 선적물
0TE3000012	배송 부서: 조언 바람
0TE3000013	배송 부서 폐쇄
0TE3000014	배송 부서 폐쇄에 관하여
0TE3000018	X-8 피실험자 정보
0TE3000019	X-8 교육 실험 내부 메모
0TE3000020	X-8 거주 실험 내부 메모
0TE3000024	생체역학 합성 규칙
0TE3000025	로봇과 개를 합성
0TE3000028	로보토마이트와 로봇을 합성
0TE3000030	로보토마이트와 개를 합성
0TE3000032	로봇과 이물을 합성
0TE3000034	합성 구역 청소
0TE3000035	합성 구역 보안 해제
0TE3000038	영광 있으라!
0TE3000039	Re: 피실험체 관찰
0TE3000040	Re: Re: Re: 피실험체 관찰
0TE3000041	Fwd: Re: 프로토타입 필드건
0TE3000044	나이트스토커 연구
0TE3000045	서버 감시 - FW: Re: 가상현실 실험
0TE3000046	X-13 운송 공지
0TE3000047	피실험체 관찰
0TE3000048	Re: Re: 피실험체 관찰
0TE3000049	다음 설정 중에서 선택하십시오;[CRLF]
0TE3000051	기본 잠입 실험 시작
0TE3000052	기본 잠입 실험 다시 하기
0TE3000054	중급 잠입 실험 시작
0TE3000055	중급 잠입 실험 다시 하기
0TE3000057	고급 잠입 실험 시작
0TE3000058	고급 잠입 실험 다시 하기
0TE3000060	로봇 순응 실험 시작
0TE3000061	로봇 순응 실험 다시 하기
0TE3000079	학생 기록 회수
0TE3000089	X-12의 지원 요청
0TE3000090	지원 허가
0TE3000091	K9000 사이버독 건이 X-12 안에 갇힘
0TE3000092	X-13 시설, 프로젝트 '블루 블러드'
0TE3000093	>\ 허가된 슈트 서명 스캔 중...
0TE3000095	실험 시설 엘리베이터 잠금 해제
0TE3000099	새 표적: X-42 거대 로봇 전갈
0TE3000103	기본 실험
0TE3000104	기본 실험 재개
0TE3000105	중급 실험
0TE3000107	중급 실험 재개
0TE3000111	X-42 거대 로봇 전갈 실험 기록
0TE3000112	표적 드론 유효성 기록
0TE3000113	표적 드론 활성화
0TE3000116	보조 발전기 기록
0TE3000117	보조 발전기 가동
0TE3000118	경고: 지금 상태에서 보조 전원을 가동하면 원형이 손상되거나 파괴될 수 있습니다.
0TE3000124	긴급 종료 절차 기록
0TE3000125	긴급 종료 실행
0TE3000129	제안.
0TE3000136	뭐야 썅...?!
0TE3000137	내가 만든 이 모드 좀 봐봐!
0TE3000141	궁둥이 빠지게 일해, 버츠!
0TE3000146	MK II 흉부 연구
0TE3000150	MK II 부츠 연구
0TE3000154	MK II 장갑 연구
0TE3000157	실험 구역 A - 리뷰
0TE3000162	Re: X-13 운송 물자 공지
0TE3000167	실험 관찰 기록
0TE3000170	기상 실험 시작
0TE3000171	기상 실험 종료
0TE3000174	리치 마커스의 중간고사 성적표 회수
0TE3000177	체리 오배넌의 스케줄 회수
0TE3000180	벳시 브라이트의 기록 회수
0TE3000184	음파 방사기 데이터
0TE3000189	EM 펄스 웨이브 모듈 다운로드
0TE3000192	실험 시작
0TE3000193	실험 상황 표시
0TE3000201	실험 선택
0TE3000209	구매청구서: 자동판매기
0TE3000210	자동판매기 투자 현황
0TE3000213	시에라 마드레: 실험 장소?
0TE3000214	Y-17 트라우마 억제복 시험 결과
0TE3000215	Y-17 트라우마 억제복 조치 사항
0TE3000218	구매청구서: 홀로그램
0TE3000219	베라 키예스 홀로그램 작업 보고서
0TE3000222	구매청구서: 화학 슈트
0TE3000226	EM 펄스파 모듈 대여
0TE3000227	프로젝트 버크와 프로젝트 헤어
0TE3000228	꼭 기억해 둘 것
0TE3000237	일지 기록 01
0TE3000238	일지 기록 02
0TE3000239	일지 기록 03
0TE3000240	엘라이자의 일지 - 2일째
0TE3000241	엘라이자의 일지 - 3일째
0TE3000242	엘라이자의 일지 - 4일째
0TE3000243	엘라이자의 일지 - 4일째 - 추가
0TE3000253	학생기록부 회수 실험
0TE3000254	애완용 사이버독 보호 실험
0TE3000256	괴상한 견본 실험 결과
0TE3000257	현재 연구 프로젝트에 접근 중...
0TE3000259	여분의 보급품 확인 중...
0TE3000260	개 푸는 중...
0TE3000261	개체 푸는 중...
0TE3000262	합성 절차 진행 중...
0TE3000263	재료 부족
0TE3000264	재 보급 중...
0TE3000271	청소 진행 중...
0TE3000272	보안 해제됨...
0TE3000273	메시지 표시 중...
0TE3000277	연구 노트 표시 중
0TE3000282	X-13 단순 감지 그리드 활성화.
0TE3000285	X-13 감지 그리드 활성화.
0TE3000288	X-13 진보된 감지 그리드 활성화.
0TE3000291	전술용 로보브레인 배치됨.
0TE3000302	기록 회수 중...
0TE3000305	접근 거부됨.
0TE3000306	접근 허가.
0TE3000307	표적 파라미터 대체 중...
0TE3000308	지역 불러오기 완료...
0TE3000311	실험 개체가 부적절하게 무장함...
0TE3000316	드론 전원 가동 중...
0TE3000318	보조 전원 가동 중...
0TE3000320	긴급 종료 실행 중...
0TE3000331	노트 표시 중...
0TE3000336	데이터 표시 중...
0TE3000342	초기화 중...
0TE3000344	기록 받음...
0TE3000348	이전에 모듈을 다운로드 받았습니다...
0TE3000349	모듈 다운로드 받음...
0TE3000350	스텔스 슈트 MK II를 착용하십시오.
0TE3000351	기본 잠입 실험 진행 중...
0TE3000352	기본 잠입 실험 진행 중...
0TE3000353	중급 잠입 실험 진행 중...
0TE3000354	중급 잠입 실험 진행 중
0TE3000355	고급 잠입 실험 진행 중...
0TE3000356	고급 잠입 실험 진행 중
0TE3000357	로봇 순응 실험 진행 중...
0TE3000358	로봇 순응 실험 진행 중
0TE3000361	이물 감지됨... 진입 시 주의
0TE3000362	결과 회수 중...
0TE4000001	호프빌 미사일 격납고 관리:
0TE4000004	관리실 문 잠금 해제
0TE4000005	관리실 상태
0TE4000007	관리실 상태 로그
0TE4000009	호프빌 미사일 격납고 보안 시스템:
0TE4000012	제 2 단계 로봇 보안 시스템 무력화
0TE4000013	제 2 단계 로봇 보안 시스템 상태
0TE4000015	제 2 단계 보안 시스템 로그
0TE4000016	호프빌 미사일 격납고 메인프레임:
0TE4000019	미사일 격납고 벙커 잠금 해제
0TE4000022	아이봇 관리 리포트
0TE4000024	아이봇 관리실 개방
0TE4000025	주 통로 개방
0TE4000027	아이봇 관리 보안 시스템이 활성화되었습니다.
0TE4000028	진행하시겠습니까?
0TE4000033	호프빌 미사일 격납고:
0TE4000034	환영합니다, 사령관님.
0TE4000036	개인 경호 시스템 무력화
0TE4000037	개인 경호 잠금 해제
0TE4000038	개인 경호 보안 상태
0TE4000043	보안 포탑 해킹
0TE4000044	제 1 단계 포탑 보안 상태
0TE4000048	회계담당자의 메일함
0TE4000049	회계담당자의 답신
0TE4000052	회계 보고
0TE4000053	사내 이메일
0TE4000054	데블린 사령관의 메모
0TE4000057	소음
0TE4000058	지진
0TE4000059	더 많은 지진들
0TE4000063	프로토타입 봇의 포드를 해제
0TE4000064	봇의 포드 상태
0TE4000066	관리 로그
0TE4000067	병참 노트
0TE4000068	병참 기록
0TE4000071	수리 포드 1을 엽니다 - 사용자 없음
0TE4000072	수리 포드 2을 엽니다 - 사용 중
0TE4000075	수리 포드 3을 엽니다 - 사용자 없음
0TE4000076	암호 "GUEST" 승인
0TE4000077	메인프레임에 접속하신 것을 환영합니다.
0TE4000085	유압식 출입문 잠금 해제
0TE4000086	유압식 출입문 상태
0TE4000091	보안실 문 열기
0TE4000092	보안실 문 상태
0TE4000094	호프빌 미사일 격납고 병기고 네트워크:
0TE4000097	무기고 잠금 해제
0TE4000098	병기고 상태
0TE4000100	애쉬튼 미사일 격납고:
0TE4000104	알파 원 저장고:
0TE4000110	문을 엽니다
0TE4000111	관리실 잠금 해제...
0TE4000112	관리실 잠김.
0TE4000113	관리실 잠금 해제됨.
0TE4000114	상태 로그에 접근 중...
0TE4000116	로봇 보안 시스템 무력화 중...
0TE4000117	보안 레벨이 활성화 상태입니다.
0TE4000118	보안 레벨이 비활성화 상태입니다.
0TE4000119	보안 로그 접근 중...
0TE4000120	미사일 격납고의 문을 여는 중...
0TE4000121	문이 열렸습니다.
0TE4000122	문이 열렸습니다.
0TE4000123	보안 시스템이 무력화 되었습니다.
0TE4000124	보안 문을 여는 중...
0TE4000125	감시 보안 시스템이 활성화 되었습니다.
0TE4000126	감시 보안 시스템은 무력화 되었습니다.
0TE4000127	포탑 보안 시스템 침투 중...
0TE4000128	포탑 보안 시스템 활성화.
0TE4000129	오류: 포탑 보안 시스템의 면역 반응이 없습니다.
0TE4000130	프로토타입 봇의 포드가 해제되었습니다.
0TE4000131	봇의 포드가 잠겼습니다.
0TE4000132	봇의 포드가 해제되었습니다.
0TE4000133	관리 로그에 접근 중...
0TE4000134	문이 고장났습니다. 다시 한번 시도해 주세요.
0TE4000135	수리 포드2 가 열렸습니다.
0TE4000136	오류: 보안 로봇이 가동 중입니다.
0TE4000137	오류: 포드 2의 사용자가 확인되지 않습니다.
0TE4000139	유압식 출입문을 해제
0TE4000140	유압식 출입문의 접근이 불가능합니다.
0TE4000141	유압식 출입문의 접근이 가능합니다.
0TE4000142	보안실 문이 해제되었습니다.
0TE4000143	보안실 문이 잠겼습니다.
0TE4000144	보안실 문이 해제되었습니다.
0TE4000145	병기고 잠금 해제 중...
0TE4000146	병기고 접근이 불가능한 상태입니다.
0TE4000147	병기고 접근이 허가되었습니다.
0TE4000150	문을 여는 중...
