MOD0000001	천만에.
TTW0000702	당신 생각처럼 이게 비치명적인 물건은 아닌 것 같아. 가볍게 때리더라도 말이야.
TTW0000703	내 사전에는 이 고통을 요약할 적당한 단어가 없어.
TTW0000704	그 장소는 죽음의 함정이었어. 하지만 난 가능한 빨리 들어갔다 나왔어.
TTW0000705	수퍼-두퍼 마트를 확인해 봤는데, 아무 것도 없었어. <거짓말>
TTW0000706	시험해 봤는데 잘 되더라고? <거짓말>
TTW0000707	도서관 있는 곳으로 가봤는데, 건물이 파괴됐더라고? <거짓말>
TTW0000708	리벳시티는 말이야, 사실 고대 수중 문명의 유적이었어. <거짓말.>
TTW0000709	마인필드를 살아서 통과했어. 게다가 당신에게 줄 선물도 가져왔다구. <거짓말>
TTW0000710	수퍼-두퍼 마트를 확인해 봤는데, 아무 것도 없었어. <거짓말>
TTW0000711	시험해 봤는데 잘 되더라고? <거짓말>
TTW0000712	건물 전체가 파괴됐더라고? <거짓말>
TTW0000713	리벳시티는 말이야, 사실 고대 수중 문명의 유적이었어. <거짓말.>
TTW0000714	이제 당신 책에 필요한 연구는 다 끝난거야. 안 그래?
TTW0000715	100캡이라고? 이걸로 그 열 배는 돈을 벌 텐데. 300캡이면 거래하지.
TTW0000716	200캡으로 하면 거래하지.
TTW0000717	이봐, 이 아이는 자기 또래 애들과 함께 있어야 한다고. 걔한테 기회를 줘봐!
TTW0000718	이봐, 꼬맹아. 이제 괜찮아. 난 크고 힘이 쎄다구. 내가 널 지켜줄 수 있어!
TTW0000719	이봐, 꼬마야. 괴물 같은 건 없어.
TTW0000720	아, 알겠어. 알에 주사를 해서 놈들이 시간이 지나면서 작아지도록 하려는 거로군.
TTW0000721	이걸 통제된 환경 하에 시도하지 않았다는 게 충격적이군.
TTW0000722	대의를 위해 어쩔 수 없었어, 레스코. 인간은 아직 신의 영역을 다룰 준비가 되어 있지 않아.
TTW0000723	인간은 아직 신의 영역을 다룰 준비가 되어 있지 않아.
TTW0000724	이봐, 이거 보통 어려운 일이 아니겠는걸. 보상을 좀 특별히 두둑하게 챙겨주지 않으면 안 되겠어.
TTW0000725	보상을 좀 특별히 두둑하게 챙겨주지 않으면 안 되겠어.
TTW0000726	누카-콜라를 만든 놈들이 그녀를 죽였어. <거짓말>
TTW0000727	누카-콜라를 만든 놈들이 그녀를 죽였어. <거짓말>
TTW0000728	나는 존-켈렙 브래드버튼 이라고 해. 나에게 번호따위는 필요 없어. 나는 이곳 주인이다!
TTW0000729	나는 브래드버튼 부인이야. 이곳 주인의 마누라라고.
TTW0000730	난 여기 주인이야. 물러서, 로봇!
TTW0000731	퀀텀에 대한 보상을 지금의 두배로 올리는게 어때?
TTW0000732	퀀텀에 대한 보상을 지금의 두배로 올리는게 어때?
TTW0000733	이봐, 시에라. 친구끼리 비밀이 어딨어!
TTW0000734	이봐, 시에라. 친구끼리 비밀이 어딨어!
TTW0000735	그게 방사능에 오염되어있다면 안마시는게 좋을거야.
TTW0000736	당신한테서 화합의 전당 노예들을 전부 사는 건 어떻겠어?
TTW0000737	만약에 말이야. 이 노예들을 찾아서 당신에게 넘기면 얼마나 줄 수 있지?
TTW0000738	찾아주지. 난 추노 전문가거든.
TTW0000739	당신한테는 아무런 불만이 없어. 날 놔주면 아무 말도 안 할게.
TTW0000740	나는 인조인간이 무엇인지 알아. 인공지능 프로그램에 잠깐 손댔었거든.
TTW0000741	얼굴 수술을 해준 적이 있지 않나? 커먼웰스에서 온 어떤 사람에게 말이야.
TTW0000742	최근에 누구한테 성형 수술 해줬는지 말해주면 캔디 줄게!
TTW0000743	내 환자에게 안면 표피 이식술이 필요해. 시술해본 적 없어?
TTW0000744	혹시 성형수술에 대해 아는 거 있어?
TTW0000745	혹시 성형수술에 대해 아는 거 있어?
TTW0000746	혹시 성형수술에 대해 아는 거 있어?
TTW0000747	혹시 성형수술에 대해 아는 거 있어?
TTW0000748	혹시 성형수술에 대해 아는 거 있어?
TTW0000749	혹시 성형수술에 대해 아는 거 있어?
TTW0000750	혹시 성형수술에 대해 아는 거 있어?
TTW0000751	혹시 성형수술에 대해 아는 거 있어?
TTW0000752	성형기라든가 정밀 피부 이식 장치를 누가 가지고 있는지 혹시 알고 있어?
TTW0000753	안면 표피 이식술을 하기 위해 정밀 피부 이식 장치를 찾아야 해.
TTW0000754	안면 표피 이식술을 하기 위해 정밀 피부 이식 장치를 찾아야 해.
TTW0000755	안면 표피 이식술을 하기 위해 정밀 피부 이식 장치를 찾아야 해.
TTW0000756	안면 표피 이식술을 하기 위해 정밀 피부 이식 장치를 찾아야 해.
TTW0000757	안면 표피 이식술을 하기 위해 정밀 피부 이식 장치를 찾아야 해.
TTW0000758	안면 표피 이식술을 하기 위해 정밀 피부 이식 장치를 찾아야 해.
TTW0000759	커먼웰스에서 온 인조인간에 대해서 아는 게 있어?
TTW0000760	커먼웰스에서 온 인조인간에 대해서 아는 게 있어?
TTW0000761	커먼웰스에서 온 인조인간에 대해서 아는 게 있어?
TTW0000762	혹시 성형외과 의사를 찾아다니는 인조인간에 대해서 아는 게 있어?
TTW0000763	혹시 성형외과 의사를 찾아다니는 인조인간에 대해서 아는 게 있어?
TTW0000764	혹시 성형외과 의사를 찾아다니는 인조인간에 대해서 아는 게 있어?
TTW0000765	혹시 성형외과 의사를 찾아다니는 인조인간에 대해서 아는 게 있어?
TTW0000766	내 인내심이 바닥나고 있어! 그 염병할 인조인간에 대해 말하라고!
TTW0000767	인조인간이 어디로 사라졌는지 말해, 그렇지 않으면 널 없애버릴 거야. 알겠나?
TTW0000768	탈출한 인조인간의 기억 삭제에 관해 뭐라도 아는 게 있어?
TTW0000769	인조인간의 기억 삭제에 관해 뭐라도 아는 게 있어?
TTW0000770	인조인간의 기억 삭제에 관해 뭐라도 아는 게 있어?
TTW0000771	인조인간의 기억 삭제에 관해 뭐라도 아는 게 있어?
TTW0000772	인조인간의 기억 삭제에 관해 뭐라도 아는 게 있어?
TTW0000773	인조인간의 기억 삭제에 관해 뭐라도 아는 게 있어?
TTW0000774	어떻게 인조인간의 메모리 서브루틴 클러스터 속의 기억을 재조작하는지 알고 있어?
TTW0000775	어떻게 인조인간의 메모리 서브루틴 클러스터 속의 기억을 재조작하는지 알고 있어?
TTW0000776	어떻게 인조인간의 메모리 서브루틴 클러스터 속의 기억을 재조작하는지 알고 있어?
TTW0000777	어떻게 인조인간의 메모리 서브루틴 클러스터 속의 기억을 재조작하는지 알고 있어?
TTW0000778	어떻게 인조인간의 메모리 서브루틴 클러스터 속의 기억을 재조작하는지 알고 있어?
TTW0000779	어떻게 인조인간의 메모리 서브루틴 클러스터 속의 기억을 재조작하는지 알고 있어?
TTW0000780	누가 탈출한 인조인간의 기억을 교체했는지 알고 있어?
TTW0000781	누가 탈출한 인조인간의 기억을 교체했는지 알고 있어?
TTW0000782	누가 탈출한 인조인간의 기억을 교체했는지 알고 있어?
TTW0000783	누가 탈출한 인조인간의 기억을 교체했는지 알고 있어?
TTW0000784	커먼웰스 인조인간의 인공지능 교체에 대해 아는 것이 있어?
TTW0000785	커먼웰스 인조인간의 인공지능 교체에 대해 아는 것이 있어?
TTW0000786	커먼웰스 인조인간의 인공지능 교체에 대해 아는 것이 있어?
TTW0000787	커먼웰스 인조인간의 인공지능 교체에 대해 아는 것이 있어?
TTW0000788	커먼웰스 인조인간의 인공지능 교체에 대해 아는 것이 있어?
TTW0000789	커먼웰스 인조인간의 인공지능 교체에 대해 아는 것이 있어?
TTW0000790	왜 그렇게 겁먹고 있는 거야?
TTW0000791	이안이 자기 문제를 올바로 바라보기 위해서라도, 외부 사람들과의 대화가 필요하다고.
TTW0000792	여기를 지나가고 싶은데. 지금 중요한걸 찾고 있는 중이야.
TTW0000793	전달한 편지가 있어.
TTW0000794	이봐, 이곳에 있는다고 해결되는 게 아니야. 너의 집으로 돌아가서 네 안의 악마와 맞서란 말이야.
TTW0000795	이봐, 이곳에 있는다고 해결되는 게 아니야. 너의 집으로 돌아가서 네 안의 악마와 맞서란 말이야.
TTW0000796	집으로 가자, 이안. 네 악몽을 이겨내는 방법은 오직 그것에 맞서는 것뿐이야.
TTW0000797	집으로 가자, 이안. 네 악몽을 이겨내는 방법은 오직 그것에 맞서는 것뿐이야.
TTW0000798	혈액팩에 담긴 혈액이면 당신들에게 필요한 피는 충분히 제공해 줄 거라고 생각하는데.
TTW0000799	그 사람들에게 기회를 줘! 그들은 무방비 상태란 말이야.
TTW0000800	쓸데없는 얘기는 다 집어 치워. 난 당신네들이 뭔지 정확히 아니까.
TTW0000801	쓸데없는 얘기는 다 집어 치워. 난 당신네들이 뭔지 정확히 아니까.
TTW0000802	이 편지만이 이안의 과거에서 남겨진 전부야. 그에게 전하게 해줘.
TTW0000803	기꺼이 돕겠지만, "그"가 누구인지 확실한 대답을 원해.
TTW0000804	내게도 말해줘! 그래야 나도 두렵지 않을 것 같아.
TTW0000805	무슨 일이 있었던 거지?
TTW0000806	죽어간다고? 그것 참 안됐군!
TTW0000807	별 문제 없어보이는데. 오아시스는 안 그래도 인적이 드물잖아.
TTW0000808	폭탄 전문기술이 그렇게 쉽게 구할 수 있는 게 아니야. 500캡 정도는 줘야지.
TTW0000809	500캡은 받아야겠어.
TTW0000810	500캡을 추가로 얹어. 그럼 계약하지.
TTW0000811	이미 심즈에게 폭탄을 해체 해 주겠다고 했어. 뭐... 나야 캡만 더 준다면 생각을 바꿀 수도 있지...
TTW0000812	이미 심즈에게 폭탄을 해체 해 주겠다고 했어. 뭐... 나야 캡만 더 준다면 생각을 바꿀 수도 있지...
TTW0000813	일이 이렇게 됐으니 이제 결정 해. 참고 여기서 살던지, 아니면 쫓겨나던지.
TTW0000814	이 문제를 해결하고 싶은 거야 아니야? 그것보다는 좀 더 내야 할 거야...
TTW0000815	이봐, 너무 그러지 마. 그건... 그냥 실수였어. 다신 그런 일 없을 거야.
TTW0000816	값어치가 없는 사람은 없지. 당신은 어떻지?
TTW0000817	너 내가 누군지나 알고 말하는 거야? 들여 보내 줘. 당장!
TTW0000818	링컨 기념관에 있는 네 친구들과도 꽤 잘 지냈었는데.
TTW0000819	어디 보자. 내가 보기엔 전선 하나를 제대로 끊으면 될 것 같은데. 행운을 빌어 줘.
TTW0000820	분명 초록색 전선을 자르랬지. 아, 그나저나 난 색맹이야.
TTW0000821	이 전선을 끊어버리는 게 분명 도움이 될 거야. 행운을 빌어 줘!
TTW0000822	이 열쇠는 어디에 쓰는 거지?
TTW0000823	무슨 일이 있었는지 똑바로 말해!
TTW0000824	열쇠를 선물하는 것은 전략적으로 중요한 외교행위 입니다. 대통령 각하.
TTW0000825	대통령각하, 선물은 전략적인 외교 활동이 될 것입니다. 사적인 것이 좋겠지요.
TTW0000826	공화국에 도움이 될 것으로 생각합니다, 대통령 각하.
TTW0000827	열쇠를 가지러 왔다.
TTW0000828	네가 너에게 열쇠를 주거나 그냥 가져버릴 수도 있어. 네 선택이야.
TTW0000829	선물로 열쇠를 주지 않겠어? 한동안 선물 받은 적이 없는데.
TTW0000830	내가 필요한 열쇠가 듀코브한테 있다. 훔쳐 오도록 해.
TTW0000831	콘스탄틴 요새가 어디 있는지 말해줘.
TTW0000832	내가 테드 스트레이어 녀석의 두 눈 가운데다 총알을 박아주었지. <거짓말>
TTW0000833	듀코브가 죽었어. 내가 그의 머리통을 날려 버렸지.<거짓말>
TTW0000834	데이브의 머리통이 마치 여드름이 터지듯이 터져버렸어.<거짓말>
TTW0000835	구스타보가 거대 두더지쥐들한테 얼굴을 뜯어먹히고 있어!
TTW0000836	그러지 말고, 내겐 말해도 돼. 아주르칼이 그렇게 말했다고. <거짓말.>
TTW0000837	뭐...오! 뇌물이라. 왜 그냥 그렇게 쉽게 말하지 그랬어. 여기 20캡을 받아.
TTW0000838	열쇠를 넘겨. 네가 피 흘리며 죽어가는 꼴은 보기 싫으니까.
TTW0000839	이유는 묻지 말고 그냥 열쇠를 내놔.
TTW0000840	아무것도 묻지 말고 그냥 가진 거 다 내놔.
TTW0000841	고작 그 정도로 당신네를 보호하라고? 300캡 내놔.
TTW0000842	고작 그 정도로 당신네를 보호하라고? 300캡 내놔.
TTW0000843	난 토마스 제퍼슨이고 독립선언문을 가지러 돌아왔다.
TTW0000844	나는 토마스 제퍼슨 대통령 각하의 애인이야. 선언문을 가지러 왔다.
TTW0000845	독립 선언문에 관한 이 모든 정보들... 어디서 얻은거지?. 난 뭔가 숨기는 것은 질색이거든.
TTW0000846	반란군 중 일부가 일을 저질러서 모두 떠나야만 했어. 내가 막으려 했지만 실패했지. <거짓말>
TTW0000847	네 아버지가 저지른 거야. 그가 말하기를 누구도 볼트를 나갈 수 없다 만일 나가려 한다면 모두 죽을 것이다 라고 하더군. <거짓말>
TTW0000848	오버시어가 저지른 거야.  그가 말하기를 누구도 볼트를 나갈 수 없다 만일 나가려 한다면 모두 죽을 것이다 라고 하더군. <거짓말>
TTW0000849	반란군 중 일부가 일을 저질러서 모두 떠나야만 했어.
TTW0000850	볼트의 안전을 위해 외부와 계속 격리 해야 돼. 이걸 포기하는 것은 정신 나간 짓이야.
TTW0000851	계속 말해 주는데 볼트의 안전을 포기하는 것은 정신이 나간 짓이야.
TTW0000852	이 아래에서 영원히 격리되어 살아 가기엔 인원이 충분치 않아.
TTW0000853	내가 봤던 걸 말해주면 못 믿을걸. 저 바깥 그 어디도 여기보다 위험해.
TTW0000854	이봐 할망구... 입방아를 찧기는 쉽지, 하지만, 물건을 가져오는 것은 안 그래.
TTW0000855	당신을 돕고는 싶은데요, 이런 종류의 수색은 비용이 많이 들지요.
TTW0000856	300캡에 거래 하는 게 어때?
TTW0000857	300캡에 거래 하는 게 어때?
TTW0000858	300캡으로 하겠다면 거래는 성립인 겁니다.
TTW0000859	300캡으로 하겠다면 거래는 성립인 겁니다.
TTW0000860	이 여자와 정말 이야기하고 싶어. 제발 지금 깨워줘.
TTW0000861	이 여자와 정말 이야기하고 싶어. 제발 지금 깨워줘.
TTW0000862	만약 이 여자를 되살려 놓으면 내가 무슨 일이 있었는지 알아 낼수 있고, 그녀를 도울 수도 있어!
TTW0000863	넌 입양됐고 아무도 널 사랑하지 않아. 멀리 떠나. 네가 여기 있는 걸 좋아하는 사람은 아무도 없으니까.
TTW0000864	테드는 어때? 그에게는 이끌어 줄 사람이 필요해... 아버지 같은.
TTW0000865	당신 중독자야? 어디에 숨겨 놨는지 말해, 당장!
TTW0000866	<존스 일병을 해킹해 거짓 경보에 반응하도록 만든다>
TTW0000867	로봇! 다른 곳에 가거나 할 것을 명하노라.
TTW0000868	네 비밀은 절대 밝히지 않을게.
TTW0000869	데이브는 부패했어! 공화국에는 새로운 자유의 투사가 필요해!
TTW0000870	고귀하신 데이브 대통령 각하, 저는 황무지로부터 온 대사입니다.
TTW0000871	난 평화와 희망과 기타 등등을 전하러 왔어. 좋은 것들.
TTW0000872	마침 내가 데이브의 과거로부터 온 기념품을 좀 팔려던 참이야.
TTW0000873	우리나라는 북쪽에 위치한 힘없고 비무장한 마을이에요. 우린 당신의 도움이 필요해요.
TTW0000874	난 텐페니 씨와 나눌 중요한 사업 얘기를 가져 왔어.
TTW0000875	텐페니씨가 꽤나 좋아할 만한 제안을 가지고 왔는데... 안들여보내 주면 아마 후회할걸?
TTW0000876	텐페니와 얘기해야해.
TTW0000877	그래. 그러면: 네놈을 맨손으로 목 졸라 죽이진 않을 거야.
TTW0000878	그래. 그러면: 네놈의 얼굴을 날려 버리지도 않을 거고, 그래서 네 뇌수가 춤추는 걸 볼 일도 없지.
TTW0000879	그래. 그러면: 네놈 바지에 수류탄을 집어 넣고 떠나지 않을 거야.
TTW0000880	그래. 그러면: 네놈 멱을 따서 피를 한바가지 쏟게 하진 않을 거야.
TTW0000881	그래. 그러면: 널 진득한 덩어리로 녹혀버리진 않을 거야.
TTW0000882	미안해. 하지만 이게 웨르너를 유인하는 유일한 방법이었어.
TTW0000883	미안해. 하지만 이게 웨르너를 유인하는 유일한 방법이었어.
TTW0000884	그런 놈 몰라. 근데 그건 왜 묻지? <거짓말>
TTW0000885	그런 놈 몰라. 근데 그건 왜 묻지? <거짓말>
TTW0000886	그런 사람을 만나긴 했는데, 문제가 있어보여서 피해다녔어. <거짓말>
TTW0000887	그런 사람을 만나긴 했는데, 문제가 있어보여서 피해다녔어. <거짓말>
TTW0000888	오지랖이 넓군.
TTW0000889	빌은 너한테 괜찮다고 말하랬지만, 그는 아마 돌아오지 못할거야. <거짓말>
TTW0000890	빌은 너한테 괜찮다고 말하랬지만, 그는 아마 돌아오지 못할거야. <거짓말>
TTW0000891	빌의 피가 튀기는 소리와 비명소리를 듣고 이미 늦었다고 생각하고 돌아왔지. <거짓말>
TTW0000892	빌의 피가 튀기는 소리와 비명소리를 듣고 이미 늦었다고 생각하고 돌아왔지. <거짓말>
TTW0000893	맞아. 난 노예들을 사러왔어.
TTW0000894	내가 남자든 여자든 무슨 상관이지? 난 노예를 사러 왔어.
TTW0000895	잠깐, 니 말은 이 아기에게 치료제로 만들 수 있는 어떤 면역력이라도 있다는 건가?
TTW0000896	기회는 딱 한번이야, 웨르너. 당장 떠나. 그리고 다신 돌아오지마.
TTW0000897	기회는 딱 한번이야, 웨르너. 당장 떠나. 그리고 다신 돌아오지마.
TTW0000898	살고싶으면 웨르너가 어디에 숨어있는지 불어.
TTW0000899	위험한거같은데. 여자들은 나올 수 있게 도와주는게 어때?
TTW0000900	아, 나머지 친구들은 여기 잠깐 남아야겠는데. <거짓말>
TTW0000901	그럴순 없네, 병사! 대체 누가 이런 미친짓을 벌린거지? 그 머릿속을 들여다 보고싶군! 
TTW0000902	와우, 천천히! 잠시 얘기 좀 할 수 있을까?
TTW0000903	나 길을 잃었어. 여기 책임자와 얘기하게 해줄래?
TTW0000904	여기 무슨 일이 있는지 단지 알고 싶을 뿐이야.
TTW0000905	이봐, 미안해. 여기 무슨 일이 있는지 단지 알고 싶을 뿐이야.
TTW0000906	당신은 이미 졌어, 장군. 품위까지 내버리진 말라구.
TTW0000907	네 장비들도 괜찮긴 한데, 좀더 강한... 뭐 다른거 없어?
TTW0000908	사람들을 구울로? 하지만 그러려면 어마어마한 양의 방사능이 필요할 텐데.
TTW0000909	미육군에서 지원 나왔어.
TTW0000910	난 뭐, 병사 같은 거야.
TTW0000911	그들이 물을 더 가지게 하는게 왜 나쁘지?
TTW0000912	심각해 보이던데... 정말 죽음을 무릅쓸 가치가 있는건가?
TTW0000913	그거 플라즈마 소총이니? 그걸 임무에 쓰면 좋겠네.
TTW0000914	그 플라즈마 소총 가져가도 돼?
TTW0000915	500캡을 주면 습격을 멈추게 해주지.
TTW0000916	내가 아니었으면 안됐잖아. 내 몫을 더 줘.
TTW0000917	내 몫을 더 줬으면 좋겠는데.
TTW0000918	그들이 무료로 나눠주는걸 보호 해 준다고 돈을 주지는 않을거야.
TTW0000919	넌 뭔가 꾸미고 있어. 부인은 할 생각하지마. 불어라, 당장!
TTW0000920	진정해. 난 신경안써. 이 얼간이들은 알아서 하라구. 난 그냥 궁금해서...
TTW0000921	말썽 피우고싶진 않아. 그냥 어디서 났는지 궁금해서.
TTW0000922	니가 뭔가 꾸미는거 알아. 걱정마. 상관한테 말 안하겠어.
TTW0000923	어떻게 이럴 자금을 구하지?
TTW0000924	그래서 너희들 뭔가 꾸미고 있는거야?
TTW0000925	그것들이 잘 자라게 하는 당신만의 비밀을 좀 공유할 수 있을까?
TTW0000926	난 널 해치지 않아. 난 그냥 가끔씩 지낼 은신처가 필요할 뿐이라고.
TTW0000927	봐! 네 케니 베어 찾았어!
TTW0000928	네 테디 베어 찾았어. <거짓말.>
TTW0000929	꾀병이군. 척보니 알겠네. 쓸데없는 짓은 그만하자, 좀.
TTW0000930	그렇군. 필요한 게 뭐야?
TTW0000931	오렌지 열병 같은 건 존재하지 않는다는 걸 알만큼은 내가 충분히 치료해 봤다고.
TTW0000932	맙소사. 제일 오렌지같은 열병이로군. 내 도움 없이 괜찮겠어?
TTW0000933	새것처럼 작동하게 해줄테니까, 200캡 받았으면 하는데.
TTW0000934	글쎄, 해볼까나. 뭘 시키려면 대가가 있어야 할 걸.
TTW0000935	난 단지 이 건축양식을 보고 감탄하고 있었어.
TTW0000936	우리에겐 목적이 있어! 즉시 이곳을 떠나자고.
TTW0000937	당신에게 무슨 일이 일어났었던거지? 괜찮으니 이야기 해봐.
TTW0000938	너의 기록을 들었어. 가족들에 대해서 이야기 하고 싶었던 거야?
ETC0000001	먹는다
ETC0000002	E) 가지기
ETC0000003	E) 훔치기
ETC0000004	R) 교환
ETC0000005	ZAPCP가 셀버퍼를 제거중입니다...
ETC0000006	자동 루팅
ETC0000007	[%] 로드됨
ETC0000008	잠깐 쉬었다 가지 않을래?
ETC0000009	ZAPCP 초기화됨.
ETC0000010	<손상된 데이터 끝>
ETC0000011	무적 모드 켜짐.
ETC0000012	무적 모드 꺼짐.
ETC0000013	모든 맵 마커 열림.
ETC0000014	[%]: 어퍼컷
ETC0000015	[%]: 크로스어택
ETC0000016	[%]: 돌려베기
ETC0000017	시큐리트론 제어 콘솔
ETC0000018	자동 루팅 [%]
ETC0000019	선셋 사르사파릴라 상자
ETC0000020	[CRLF]홀로라이플의 정확도를 향상시킬 수 있다.
ETC0000021	더트냅
ETC0000022	플람베 컷
ETC0000023	나이스샷!
ETC0000024	그랜드 슬램
ETC0000025	역위 갈퀴
ETC0000026	소등
ETC0000027	완전 절개
ETC0000028	죽빵
ETC0000029	누카-브레이크
ETC0000030	통증 주파수
ETC0000031	양성자 감전 공격
ETC0000032	고철 더미
ETC0000033	국부 공격
ETC0000034	천의무봉
ETC0000035	[%]: 블러드냅
ETC0000036	[%]: 더트냅
ETC0000037	[%]: 플람베 컷
ETC0000038	[%]: 나이스샷!
ETC0000039	[%]: 그랜드 슬램
ETC0000040	[%]: 역위 갈퀴
ETC0000041	[%]: 소등
ETC0000042	[%]: 완전 절개
ETC0000043	[%]: 죽빵
ETC0000044	[%]: 누카-브레이크
ETC0000045	[%]: 통증 주파수
ETC0000046	[%]: 양성자 감전 공격
ETC0000047	[%]: 고철 더미
ETC0000048	[%]: 국부 공격
ETC0000049	[%]: 천의무봉
ETC0000050	[%]: 스톰프
ETC0000051	[%]: 칸의 꼼수
ETC0000052	[%]: 레인저 제압술
ETC0000053	[%]: 군단의 돌격
ETC0000054	[%]: 서기의 반격기
0AC0000003	부레를 원격 조종한다
0AC0000004	룰렛을 한다
0AC0000005	슬롯을 한다
0AC0000006	블랙잭을 한다
0AC0000007	노트를 읽는다
0AC0000008	마신다
0AC0000009	음파 방사기를 놓아둔다
0AC0000010	일지를 읽는다
0AC0000011	혈액 샘플을 뿌린다
0AC0000012	시체를 숨긴다
0AC0000013	[%] 따기
0AC0000022	조리 기계를 고친다
0AC0000023	케이스를 조사한다
0AC0000029	요리한다
0AC0000030	조사한다
0AC0000031	조사한다 - [%]
0AC0000033	테르밋을 놓아둔다
0AC0000041	문을 작동시킨다
0AC0000042	부상당한 병사를 진단한다
0AC0000043	요새 도개교를 연다
0AC0000045	동굴로 들어간다
0AC0000046	볼트 19 - 1층
0AC0000047	음파 방출기를 개미굴에 놓아둔다
0AC0000048	개미굴로 들어간다
0AC0000051	사다리를 올라간다
0AC0000052	사다리를 사용한다
0AC0000055	군단장의 캠프
0AC0000057	황무지로 나간다
0AC0000058	문을 연다
0AC0000059	접근 제한된 터널
0AC0000063	볼트 34 오버시어의 방
0AC0000064	보안 스테이션 A
0AC0000066	엘리베이터를 부른다
0AC0000067	고속 엘리베이터 - 스위트룸
0AC0000068	고속 엘리베이터 - 하층부
0AC0000070	엘리베이터 - 귀빈실 스위트룸
0AC0000071	엘리베이터 - 13층
0AC0000072	엘리베이터 - 지하 2층
0AC0000073	엘리베이터 - 탑스 카지노 메인 플로어
0AC0000074	북부 베가스로 올라간다
0AC0000075	프리사이드 게이트로 올라간다
0AC0000076	크림슨 캐러밴으로 올라간다
0AC0000077	캠프 맥캐런으로 올라간다
0AC0000078	에어로테크 주차장으로 올라간다
0AC0000079	NCR 소작농장으로 올라간다
0AC0000080	웨스트사이드 전당포로 올라간다
0AC0000081	포트로 여행한다
0AC0000088	작동
0AC0000093	프리사이드로 들어간다
0AC0000094	베가스 외곽으로 나간다
0AC0000095	스트립으로 들어간다
0AC0000096	스트립 행 모노레일을 탄다
0AC0000097	헤이즈 중위의 텐트로 들어간다
0AC0000098	미루나무 만으로 여행한다
0AC0000100	북쪽 통로를 떠난다
0AC0000101	북쪽 통로로 들어간다
0AC0000104	은신처 벙커에서 나간다
0AC0000105	은신처 벙커로 들어간다
0AC0000106	수석 웨이터를 부른다
0AC0000107	무기고의 문을 연다
0AC0000112	맥캐런 행 모노레일을 탄다
0AC0000113	터널 - 유황 동굴
0AC0000114	볼트 19
0AC0000117	볼트 19 - 원자로
0AC0000118	볼트 19 - 거주 구역
0AC0000119	레드 섹터의 문을 연다
0AC0000120	블루 섹터의 문을 연다
0AC0000121	볼트 19 - 오버시어의 사무실
0AC0000124	협박장을 읽는다
0AC0000126	[%]
0AC0000127	[%]
0AC0000128	[%]
0AC0000129	[%]
0AC0000130	연다 - [%]
0AC0000131	[%]
0AC0000132	[%]
0AC0000133	엘리베이터 - [%]
0AC0000134	[%]
0AC0000135	볼트 3
0AC0000136	[%]
0AC0000137	가진다 - [%]
0AC0000138	터널 - [%]
0AC0000139	낡은 문 - [%]
0AC0000140	계단 - [%]
0AC1000004	독구름 찌거기를 모은다
0AC1000005	배선도를 본다
0AC1000006	엘라이자와 대화한다
0AC1000007	배전실 문
0AC1000008	볼트로 가는 엘리베이터
0AC1000009	스위치를 조작한다
0AC1000010	살리다 델 솔로 간다
0AC1000011	갈라 이벤트 제어 패널을 작동시킨다
0AC1000012	종탑으로 올라간다
0AC1000014	경찰서장 비서의 책상
0AC1000016	시체를 조사한다
0AC1000019	베라의 드레스를 가진다
0AC1000020	포탑 발전기를 조사한다
0AC1000022	시에라 마드레 카지노로 여행한다
0AC2000002	하얀 다리 부족 전쟁 토템을 가진다
0AC2000003	리틀 스카웃 도시락 상자를 가진다
0AC2000006	십자 동굴로 들어간다
0AC2000016	길 잃은 빅호너 새끼를 다룬다
0AC2000017	북쪽 통로 동굴로 여행한다
0AC2000023	폭발물을 설치한다
0AC3000002	시험 발사를 개시한다
0AC3000003	근접 탐지기를 끈다
0AC3000010	수집한다 - [%]
0AC3000019	걸린 고기를 수집한다
0AC3000023	X-8 중앙 시설
0AC3000024	빅 MT
0AC4000001	핵탄두를 조사한다
0AC4000002	포스터를 조사한다
0AC4000003	블러드냅을 가진다
0AC4000007	터널로 들어간다
0AC4000008	율리시스의 사원
0AC4000009	애쉬튼 미사일 격납고로 향하는 리프트를 작동
0AC4000010	미루나무 만으로 간다
0AC4000011	호프빌 격납고의 전원을 복구한다
0AC4000012	드라이 웰즈로 간다
0AC4000013	배달부의 길
0AC4000014	고독한 길
0AC4000015	붉은 섬광을 집는다
0AC4000016	하이 로드로 가는 리프트를 탄다
0AC4000017	애쉬튼 미사일 격납고
0AC4000018	낙인찍힌 자 시체
0AC4000019	레버를 당긴다
0AC4000020	레이저 격발기를 집는다
0AC4000021	애쉬튼 격납고
0AC4000022	모하비 황무지
0AC4000024	무너진 터널로 들어간다
0AC4000025	관리실
0AC4000026	무너진 터널에서 나간다
0AC4000027	하이 로드
0AC4000028	디바이드로 나간다
F3NGA00001	에너지 소총
F3NGA00002	민중의 동지
F3NGA00003	해상도
F3NGA00004	병뚜껑
F3NGA00005	라이브
F3NGA00006	정의의 투사
F3NGA00007	허기 수치가 높아졌습니다.
F3NGA00008	오디오 실행
F3NGA00009	양
F3NGA00011	질서의 상징
F3NGA00012	셀프
F3NGA00013	버전 정보
F3NGA00014	남자
F3NGA00015	평온의 선구자
